Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Limpopo for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,1,0,0,0,1,1,1,0,1
Total Sexual Crimes,4,4,4,5,7,5,8,4,6,5
Attempted murder,3,3,3,1,3,2,2,2,3,1
Assault with the intent to inflict grievous bodily harm,56,50,30,23,17,27,29,43,58,36
Common assault,86,85,22,29,19,16,31,17,22,36
Common robbery,4,1,1,1,3,1,1,1,3,1
Robbery with aggravating circumstances,1,1,1,1,0,0,4,1,3,2
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,2,1,0,1,0,1,3,1,1
Malicious damage to property,28,16,10,12,12,10,12,8,12,15
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,5,3,1,4,12,11,12,7,3,5
Burglary at residential premises,31,12,18,17,14,10,18,21,14,18
Theft of motor vehicle and motorcycle,0,4,1,3,2,0,0,0,0,0
Theft out of or from motor vehicle,5,7,2,6,4,2,3,6,5,2
Stock-theft,14,9,4,3,10,19,21,21,14,16
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,1,0,1,1,0,1,2,1,1
Drug-related crime,6,9,12,3,3,3,3,6,3,9
Driving under the influence of alcohol or drugs,0,1,1,0,1,4,3,2,2,4
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,70,46,52,27,32,41,53,46,64,47
Commercial crime,5,4,3,5,3,4,5,0,2,6
Shoplifting,3,2,3,3,2,1,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,1,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,1,0,2,0
Robbery at non-residential premises,0,0,0,0,0,0,1,0,0,1
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,5,2,3,4,1,5,2,4,7,2
Public violence,2,0,0,0,0,1,0,0,1,0
Crimen injuria,25,25,5,3,5,3,4,4,6,7
Neglect and ill-treatment of children ,1,0,0,1,1,0,0,0,0,1
Kidnapping,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Apel (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,8,15,6,9,11,9,7,6,5,9
Total Sexual Crimes,28,29,27,34,35,36,36,26,29,51
Attempted murder,4,6,6,6,11,8,9,13,18,5
Assault with the intent to inflict grievous bodily harm,90,85,98,123,117,112,136,127,105,103
Common assault,41,36,38,44,52,29,32,52,52,43
Common robbery,27,16,28,23,21,11,12,12,19,17
Robbery with aggravating circumstances,17,26,22,26,17,28,16,33,29,23
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,2,4,5,0,1,2,0,2,3
Malicious damage to property,36,42,41,62,56,49,65,67,82,82
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,67,56,14,41,65,74,75,65,85,112
Burglary at residential premises,58,40,61,59,56,55,45,48,57,45
Theft of motor vehicle and motorcycle,13,8,4,6,3,3,6,3,4,6
Theft out of or from motor vehicle,12,7,7,12,6,7,8,11,13,18
Stock-theft,6,14,17,33,19,47,41,32,31,33
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4,10,3,3,1,3,3,8,10,9
Drug-related crime,6,0,1,3,13,27,42,43,10,53
Driving under the influence of alcohol or drugs,1,1,3,6,6,7,11,11,6,21
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,79,72,87,127,111,125,124,96,126,127
Commercial crime,9,3,5,8,10,9,5,17,21,26
Shoplifting,0,1,0,5,14,5,8,12,6,5
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,1,1,2,5,2,5
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,1,0,0,6,4,7,8,3
Robbery at non-residential premises,0,0,0,0,1,7,3,17,12,10
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,9,9,13,12,12,12,17,15,13,20
Public violence,0,1,1,1,0,0,2,2,1,2
Crimen injuria,18,23,14,15,10,13,13,22,20,15
Neglect and ill-treatment of children ,3,5,1,6,1,3,2,1,1,2
Kidnapping,0,0,0,0,0,3,2,1,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bela Bela (LI)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Bela Bela was previously named Warmbaths,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,15,13,10,14,6,11,11,7,9,14
Total Sexual Crimes,65,87,55,61,60,67,62,50,64,53
Attempted murder,20,13,16,17,17,11,12,5,11,6
Assault with the intent to inflict grievous bodily harm,356,291,253,271,226,210,208,157,181,164
Common assault,406,340,368,310,235,184,170,142,194,183
Common robbery,116,109,93,75,47,47,54,48,50,45
Robbery with aggravating circumstances,48,39,49,44,58,47,68,40,62,48
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,16,10,6,7,9,7,12,5,7,11
Malicious damage to property,153,131,160,129,125,107,114,81,123,102
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,102,90,97,87,100,109,106,89,88,102
Burglary at residential premises,334,277,232,326,365,381,585,394,414,490
Theft of motor vehicle and motorcycle,64,66,28,72,77,35,54,54,25,30
Theft out of or from motor vehicle,87,82,81,55,67,90,80,76,82,124
Stock-theft,37,20,23,28,28,37,38,35,39,25
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,15,13,3,8,10,6,4,3,10,8
Drug-related crime,30,27,23,25,47,48,88,201,296,425
Driving under the influence of alcohol or drugs,37,28,35,20,39,25,31,26,23,52
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,676,578,550,477,503,642,550,488,591,554
Commercial crime,62,61,63,65,68,80,75,101,74,76
Shoplifting,90,77,76,113,125,151,121,99,95,92
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,3,1,0,2,3,3,3,1,3
Truck hijacking,1,0,2,1,1,1,2,2,0,7
Robbery at residential premises,0,1,1,4,9,6,11,4,7,5
Robbery at non-residential premises,0,0,1,3,8,18,18,15,12,9
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,35,47,24,31,39,35,32,43,21,21
Public violence,0,1,3,4,0,1,2,1,0,0
Crimen injuria,70,80,60,43,37,26,27,29,21,24
Neglect and ill-treatment of children ,8,10,3,4,1,4,4,3,7,8
Kidnapping,0,3,1,0,0,0,0,2,1,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bolobedu (LI)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,19,27,17,26,20,18,21,20,20,19
Total Sexual Crimes,156,179,161,190,140,164,164,159,171,146
Attempted murder,18,15,19,22,19,25,15,11,19,16
Assault with the intent to inflict grievous bodily harm,582,650,585,630,499,362,417,431,461,451
Common assault,425,482,438,312,281,289,257,250,250,280
Common robbery,70,122,110,153,128,97,111,91,86,97
Robbery with aggravating circumstances,84,69,64,70,47,37,45,60,58,106
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,27,25,33,31,20,27,19,16,15,28
Malicious damage to property,136,146,159,162,143,141,119,104,112,144
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,115,157,196,221,152,172,136,118,186,199
Burglary at residential premises,231,283,230,259,260,264,314,333,389,367
Theft of motor vehicle and motorcycle,8,5,7,7,0,12,5,9,11,8
Theft out of or from motor vehicle,55,98,35,29,27,38,20,14,47,34
Stock-theft,43,26,16,30,26,28,23,24,29,19
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,12,5,7,9,5,11,9,8,3,10
Drug-related crime,21,34,35,33,47,45,69,34,30,113
Driving under the influence of alcohol or drugs,2,4,0,5,6,26,27,133,34,59
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,330,296,289,353,250,228,158,164,177,265
Commercial crime,14,12,18,7,14,13,28,18,13,18
Shoplifting,30,16,28,22,40,24,10,12,20,24
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,1,2,4,3,7,1,2
Truck hijacking,0,0,0,0,0,0,1,0,0,0
Robbery at residential premises,1,2,8,11,9,7,8,12,16,18
Robbery at non-residential premises,1,1,3,1,1,14,9,21,31,45
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,19,18,18,16,22,30,21,24,27
Public violence,0,0,0,0,0,0,3,1,1,1
Crimen injuria,84,92,91,60,47,38,39,36,38,30
Neglect and ill-treatment of children ,12,7,5,13,4,3,3,5,5,8
Kidnapping,5,8,4,3,1,1,0,1,1,6
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Botlokwa (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,2,2,5,6,8,8,12,8,8
Total Sexual Crimes,1,0,0,0,10,31,34,48,75,80
Attempted murder,8,8,2,4,3,6,9,10,5,11
Assault with the intent to inflict grievous bodily harm,120,104,67,89,82,68,106,204,202,213
Common assault,46,52,32,29,13,20,46,40,58,55
Common robbery,46,27,24,24,18,13,14,23,30,42
Robbery with aggravating circumstances,38,18,11,31,10,23,24,31,47,43
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,1,1,1,0,2,1,2,1,7
Malicious damage to property,49,72,40,31,31,31,26,66,63,65
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,69,32,24,34,32,22,23,38,63,53
Burglary at residential premises,108,87,51,64,60,92,107,232,161,163
Theft of motor vehicle and motorcycle,6,6,1,12,4,2,2,2,10,2
Theft out of or from motor vehicle,22,8,10,12,9,6,6,14,15,20
Stock-theft,6,6,1,1,3,8,13,11,15,24
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,2,2,2,3,6,2,7,6,8
Drug-related crime,34,53,28,42,18,12,60,37,28,42
Driving under the influence of alcohol or drugs,2,5,1,4,19,20,48,21,34,30
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,140,81,63,40,44,82,65,97,205,171
Commercial crime,5,3,3,3,4,5,24,27,17,19
Shoplifting,5,1,2,0,1,1,0,6,24,18
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,1,0,0,0,2,1,4,2,3
Truck hijacking,2,0,0,0,0,0,1,0,0,0
Robbery at residential premises,0,0,1,2,0,7,5,6,11,8
Robbery at non-residential premises,2,0,0,0,1,3,7,10,15,13
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,17,16,13,15,14,23,18,17,13,7
Public violence,0,0,0,0,0,0,0,2,0,0
Crimen injuria,3,15,6,5,0,5,5,7,19,15
Neglect and ill-treatment of children ,0,3,1,1,0,1,1,6,3,5
Kidnapping,1,1,1,1,2,1,1,3,4,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bulgerivier (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,0,0,0,0,1,1,0,1,1
Total Sexual Crimes,0,2,2,1,3,1,2,2,3,0
Attempted murder,0,0,0,0,0,1,0,0,1,0
Assault with the intent to inflict grievous bodily harm,6,4,3,2,1,3,4,7,9,5
Common assault,21,12,12,5,10,10,7,4,7,8
Common robbery,1,1,0,0,0,0,1,0,0,0
Robbery with aggravating circumstances,0,0,0,1,1,0,1,0,0,2
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,0,0,0,0,0,0,0,0,0
Malicious damage to property,3,2,3,6,1,4,0,2,1,2
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,0,1,0,1,0,0,0,0,0
Burglary at residential premises,2,6,2,2,5,3,4,6,7,12
Theft of motor vehicle and motorcycle,0,0,0,0,0,1,0,1,0,1
Theft out of or from motor vehicle,2,1,0,0,0,0,0,0,1,0
Stock-theft,3,8,0,0,0,0,1,2,2,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,2,0,0,1,0,0,0,0,0
Drug-related crime,0,0,0,0,1,1,1,0,0,0
Driving under the influence of alcohol or drugs,0,0,0,0,0,0,0,0,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,24,22,9,9,9,16,12,18,15,15
Commercial crime,1,0,0,0,1,0,0,1,0,1
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,0,0,0,0,0,0,0,0
Robbery at non-residential premises,0,0,0,0,0,0,1,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2,0,2,2,1,3,2,1,4,6
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,6,1,6,2,1,2,4,3,0,0
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Burgersfort (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,8,7,9,6,5,7,2,5,7,14
Total Sexual Crimes,21,26,31,22,13,13,26,26,102,53
Attempted murder,33,17,21,24,11,10,9,9,7,11
Assault with the intent to inflict grievous bodily harm,155,140,113,133,59,43,55,70,138,155
Common assault,169,184,160,179,78,54,75,83,130,172
Common robbery,68,54,58,79,35,16,27,35,63,83
Robbery with aggravating circumstances,94,89,90,112,56,35,23,32,55,82
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,7,3,6,2,4,2,4,2,7,16
Malicious damage to property,81,85,80,97,80,49,47,69,115,135
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,127,98,74,73,26,47,49,57,99,94
Burglary at residential premises,204,181,161,229,120,68,120,155,191,292
Theft of motor vehicle and motorcycle,38,52,46,54,53,29,12,20,35,23
Theft out of or from motor vehicle,110,93,93,83,40,19,33,51,125,185
Stock-theft,11,39,6,11,3,8,6,5,15,11
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4,11,5,3,6,5,6,6,5,3
Drug-related crime,43,24,18,10,8,19,42,39,91,128
Driving under the influence of alcohol or drugs,11,1,5,9,8,23,25,13,42,73
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,923,705,487,600,443,368,293,305,533,505
Commercial crime,58,41,58,67,65,51,46,59,117,280
Shoplifting,227,221,261,310,289,285,256,235,50,222
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,3,9,9,11,13,6,5,7,9,7
Truck hijacking,0,0,0,0,0,0,0,0,0,1
Robbery at residential premises,1,0,0,2,7,9,3,10,12,24
Robbery at non-residential premises,1,0,5,2,3,9,9,10,15,24
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,14,7,21,20,18,28,21,19,28,24
Public violence,0,0,1,0,0,0,0,1,2,10
Crimen injuria,53,62,50,44,24,13,12,18,25,44
Neglect and ill-treatment of children ,0,1,4,3,2,0,0,1,2,1
Kidnapping,0,0,0,0,0,1,2,0,4,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Cumberland (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,1,0,1,0,0,0,1,1,3
Total Sexual Crimes,4,5,3,3,4,3,4,2,5,1
Attempted murder,2,0,1,0,0,0,1,0,0,1
Assault with the intent to inflict grievous bodily harm,13,16,14,14,18,8,12,11,6,18
Common assault,17,26,23,16,11,12,14,10,11,6
Common robbery,0,0,1,1,0,0,1,0,0,1
Robbery with aggravating circumstances,0,0,0,0,1,1,0,3,1,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,1,0,1,0,0,1
Malicious damage to property,14,11,6,6,8,5,3,1,6,8
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,1,4,0,0,0,1,1,0,0,2
Burglary at residential premises,15,10,20,17,12,15,26,18,8,13
Theft of motor vehicle and motorcycle,1,1,2,1,2,0,2,1,1,0
Theft out of or from motor vehicle,0,4,0,0,2,1,2,0,2,1
Stock-theft,7,4,3,4,6,1,5,4,3,1
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,0,3,0,0,0,1,1,0,2
Drug-related crime,1,2,4,4,1,1,2,2,1,3
Driving under the influence of alcohol or drugs,0,0,0,0,1,0,0,0,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,21,26,20,23,29,24,22,19,16,19
Commercial crime,1,2,0,0,0,2,0,0,0,4
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,1,0,2,1,1
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,2,0,0,1,0,0,2,1,1
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,5,11,6,5,9,1,8,0,0,0
Neglect and ill-treatment of children ,0,0,0,0,0,0,1,0,0,0
Kidnapping,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Dennilton (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,22,23,24,19,14,20,20,16,26,12
Total Sexual Crimes,130,185,150,136,138,121,148,116,104,100
Attempted murder,55,33,47,31,37,41,33,13,17,24
Assault with the intent to inflict grievous bodily harm,316,375,374,428,386,297,315,270,205,148
Common assault,289,343,241,275,322,189,252,210,255,211
Common robbery,47,66,91,73,70,56,48,57,47,33
Robbery with aggravating circumstances,261,204,205,208,136,188,148,131,143,111
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,6,19,20,17,12,15,12,10,7
Malicious damage to property,144,145,169,171,184,146,150,148,116,101
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,47,42,56,56,62,134,149,136,150,144
Burglary at residential premises,340,321,332,333,322,285,277,249,216,177
Theft of motor vehicle and motorcycle,34,42,19,28,24,22,27,25,18,28
Theft out of or from motor vehicle,36,17,24,23,26,28,38,43,38,48
Stock-theft,95,128,97,115,80,156,120,117,73,44
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,32,18,19,27,40,27,32,16,13,23
Drug-related crime,15,35,58,60,106,78,172,45,50,51
Driving under the influence of alcohol or drugs,3,0,2,18,31,32,16,15,29,17
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,470,434,449,464,796,386,260,268,458,279
Commercial crime,6,12,15,12,20,21,30,17,26,21
Shoplifting,35,36,46,23,79,76,36,57,56,60
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,27,32,33,34,7,14,6,10,14,6
Truck hijacking,1,5,1,2,1,3,1,0,1,1
