Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Eastern Cape for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Total Sexual Crimes,25,20,25,18,24,20,24,34,41,36
Attempted murder,2,3,7,2,3,6,12,9,15,14
Assault with the intent to inflict grievous bodily harm,84,112,149,105,97,125,124,98,103,107
Common assault,156,151,159,126,116,140,123,92,80,77
Common robbery,12,4,17,17,11,11,13,10,6,13
Robbery with aggravating circumstances,3,1,13,10,11,16,24,12,16,20
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,9,1,1,3,1,1,3,2,3
Malicious damage to property,46,35,42,52,46,42,54,38,37,43
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,49,15,21,30,38,52,53,27,25,61
Burglary at residential premises,120,147,142,133,128,200,165,155,135,164
Theft of motor vehicle and motorcycle,23,11,8,15,22,13,18,12,3,5
Theft out of or from motor vehicle,28,15,12,17,18,35,22,24,7,20
Stock-theft,66,58,39,45,58,81,75,43,42,53
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,0,1,0,0,3,1,1,1,3
Drug-related crime,14,5,13,6,12,17,21,26,37,36
Driving under the influence of alcohol or drugs,12,13,5,9,10,11,9,13,2,18
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,129,97,112,107,114,124,123,123,103,116
Commercial crime,6,6,13,11,3,5,17,50,9,6
Shoplifting,12,21,10,4,11,19,6,5,2,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,1,1
Truck hijacking,0,0,0,0,0,1,1,0,0,0
Robbery at residential premises,1,0,0,0,0,2,2,2,3,5
Robbery at non-residential premises,0,0,0,0,1,6,6,3,4,8
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,5,8,4,4,3,5,3,4,2,10
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,32,40,25,34,31,36,30,20,23,30
Neglect and ill-treatment of children ,4,3,3,2,1,5,2,1,3,1
Kidnapping,0,0,0,0,1,1,0,0,2,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Algoapark (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,23,24,22,22,22,25,20,17,22,17
Total Sexual Crimes,98,83,81,109,75,100,92,87,79,79
Attempted murder,8,15,20,15,27,18,14,16,12,13
Assault with the intent to inflict grievous bodily harm,111,119,160,168,167,130,159,174,171,164
Common assault,523,545,461,392,365,408,371,345,282,254
Common robbery,55,105,112,108,97,59,55,70,60,84
Robbery with aggravating circumstances,124,123,139,217,194,225,236,201,252,258
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,16,10,21,18,8,13,11,15,7,9
Malicious damage to property,245,270,284,291,219,206,191,266,255,288
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,241,283,383,259,341,320,303,263,223,253
Burglary at residential premises,287,352,362,420,348,287,265,243,271,287
Theft of motor vehicle and motorcycle,95,77,129,149,150,110,136,133,111,111
Theft out of or from motor vehicle,289,350,380,343,184,205,247,341,303,327
Stock-theft,1,0,0,1,1,1,0,2,0,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,16,22,14,12,9,15,13,5,3,14
Drug-related crime,165,134,52,63,35,58,43,40,38,50
Driving under the influence of alcohol or drugs,77,54,48,63,110,249,194,123,145,61
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1194,1274,976,819,708,673,533,668,575,526
Commercial crime,142,117,91,88,206,136,136,121,69,159
Shoplifting,135,137,124,68,64,94,102,72,51,60
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,4,8,13,15,17,15,10,16,17
Truck hijacking,0,0,0,1,0,2,7,1,3,1
Robbery at residential premises,2,0,1,1,12,14,14,14,22,22
Robbery at non-residential premises,0,1,0,5,40,52,48,41,60,59
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,16,10,15,20,17,11,16,11,9
Public violence,1,0,4,0,0,8,6,1,2,3
Crimen injuria,98,116,69,54,75,33,29,32,36,24
Neglect and ill-treatment of children ,4,2,0,9,3,4,2,2,2,2
Kidnapping,2,1,0,1,0,1,2,0,5,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alice (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,15,18,20,25,22,27,14,13,22,15
Total Sexual Crimes,40,56,72,74,63,68,78,80,75,84
Attempted murder,11,7,10,6,6,7,16,6,9,8
Assault with the intent to inflict grievous bodily harm,362,437,370,406,394,387,396,359,343,310
Common assault,67,59,56,79,61,92,72,58,56,39
Common robbery,80,59,73,67,39,36,58,48,40,35
Robbery with aggravating circumstances,7,19,18,34,34,47,73,49,83,64
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,5,5,13,14,13,14,9,1,11
Malicious damage to property,73,77,76,91,120,143,109,92,83,115
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,56,53,1,1,13,26,18,16,41,30
Burglary at residential premises,199,219,228,220,227,256,280,245,275,201
Theft of motor vehicle and motorcycle,28,13,14,17,22,20,19,13,13,14
Theft out of or from motor vehicle,22,23,14,16,24,22,24,22,36,41
Stock-theft,101,49,26,34,50,76,56,58,73,83
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,11,3,2,4,5,4,8,10,11,10
Drug-related crime,24,35,7,19,22,41,13,32,31,45
Driving under the influence of alcohol or drugs,22,25,8,28,36,52,71,80,44,59
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,266,170,258,177,163,193,211,133,146,218
Commercial crime,16,23,48,33,47,62,47,49,59,145
Shoplifting,73,45,20,21,30,29,39,40,49,50
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,1,0,1,0,4,3,3,3,1
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,3,3,0,0,0,7,7,8,3,5
Robbery at non-residential premises,1,3,1,1,2,6,11,3,18,12
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,7,3,7,5,3,3,6,4,4,7
Public violence,0,0,0,0,0,0,0,0,3,1
Crimen injuria,53,40,48,54,50,42,45,23,30,32
Neglect and ill-treatment of children ,3,4,2,2,2,4,5,9,2,5
Kidnapping,2,3,1,1,0,1,3,2,4,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alicedale (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,0,0,1,0,2,1,1,1,0
Total Sexual Crimes,7,8,12,6,3,5,7,3,8,6
Attempted murder,0,2,0,4,2,2,6,1,0,1
Assault with the intent to inflict grievous bodily harm,49,70,46,64,69,54,33,43,31,23
Common assault,62,84,82,64,80,37,31,36,27,35
Common robbery,2,1,7,1,2,3,1,0,0,0
Robbery with aggravating circumstances,2,3,2,0,0,0,5,0,1,2
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,0,0,2,1,1,0,0,1,0
Malicious damage to property,13,15,19,14,11,18,18,10,5,7
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,6,16,7,2,7,7,9,7,10,4
Burglary at residential premises,20,46,57,18,22,17,33,30,23,19
Theft of motor vehicle and motorcycle,0,1,1,0,0,1,2,1,0,1
Theft out of or from motor vehicle,3,2,1,2,2,7,4,10,11,8
Stock-theft,28,12,13,5,14,15,11,9,12,10
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,1,1,1,1,0,0,0
Drug-related crime,4,3,1,0,2,8,4,11,15,18
Driving under the influence of alcohol or drugs,1,0,0,1,2,5,4,3,1,2
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,46,40,32,42,24,23,24,22,24,17
Commercial crime,2,1,1,1,1,3,0,0,3,1
Shoplifting,1,2,0,0,0,1,1,1,1,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,1,0,0,0,0,2,0,0,2
Robbery at non-residential premises,0,0,1,0,0,0,2,0,1,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,1,2,1,1,1,0,0,0,0
Public violence,0,0,0,0,0,1,0,0,0,0
Crimen injuria,25,32,28,28,16,10,11,12,1,6
Neglect and ill-treatment of children ,1,0,1,0,0,0,0,0,1,1
Kidnapping,0,0,0,1,0,1,1,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Aliwal North (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,2,4,6,8,9,6,5,7,6
Total Sexual Crimes,27,37,41,31,35,41,29,28,44,38
Attempted murder,7,9,15,4,8,0,5,0,3,0
Assault with the intent to inflict grievous bodily harm,273,311,379,288,251,233,249,209,201,171
Common assault,116,116,128,93,114,89,89,94,95,62
Common robbery,69,102,57,48,29,26,29,18,30,17
Robbery with aggravating circumstances,8,8,29,13,43,39,22,42,30,28
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,3,5,3,3,5,3,2,3,5
Malicious damage to property,105,81,86,90,60,68,52,60,38,40
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,103,51,53,84,67,83,59,53,48,44
Burglary at residential premises,169,165,182,142,116,87,116,96,125,110
Theft of motor vehicle and motorcycle,39,24,19,19,23,10,7,24,29,23
Theft out of or from motor vehicle,90,66,69,42,26,30,20,44,25,32
Stock-theft,115,67,80,67,39,42,40,47,53,33
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4,4,5,2,1,0,0,2,4,6
Drug-related crime,55,51,61,39,34,45,46,45,111,73
Driving under the influence of alcohol or drugs,15,39,30,23,25,76,120,31,38,109
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,371,328,319,262,207,232,157,184,194,179
Commercial crime,39,54,69,36,30,41,27,40,30,58
Shoplifting,132,100,123,111,68,75,93,64,66,79
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,1,0,1,0,0,1
