Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Mpumalanga  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Neglect and ill-treatment of children ,2,4,2,4,7,1,3,3,5,2
Kidnapping,3,2,0,2,7,4,4,10,6,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Amersfoort (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,13,5,9,2,4,8,8,10,10,6
Total Sexual Crimes,14,34,34,31,36,35,34,31,25,44
Attempted murder,5,4,3,7,6,2,11,2,2,4
Assault with the intent to inflict grievous bodily harm,71,74,91,119,109,111,101,102,82,74
Common assault,146,204,165,181,185,173,215,203,162,149
Common robbery,16,17,20,25,32,38,34,46,24,28
Robbery with aggravating circumstances,10,7,12,11,15,29,24,18,22,28
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,5,5,8,8,4,8,1,3,3
Malicious damage to property,41,69,70,76,68,74,79,74,64,47
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7,13,23,12,17,24,40,20,17,23
Burglary at residential premises,220,198,198,219,192,187,225,215,180,160
Theft of motor vehicle and motorcycle,27,20,15,10,10,12,19,20,26,10
Theft out of or from motor vehicle,24,23,28,39,33,27,24,40,16,27
Stock-theft,225,172,185,197,219,275,268,264,235,210
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,6,1,0,1,3,1,4,2,10,2
Drug-related crime,10,9,7,10,10,5,12,17,66,67
Driving under the influence of alcohol or drugs,4,15,8,9,13,11,21,12,29,23
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,155,171,139,166,144,165,151,144,163,149
Commercial crime,3,11,13,10,7,6,9,12,10,13
Shoplifting,10,9,11,7,6,9,2,12,10,8
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,0,0,0,0,1,0,0,0,0
Truck hijacking,0,0,0,0,1,2,0,0,1,0
Robbery at residential premises,0,0,0,2,2,3,4,8,7,9
Robbery at non-residential premises,0,0,0,0,0,10,7,7,14,18
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,5,4,9,3,15,12,6,7,2,7
Public violence,0,0,1,0,1,2,1,0,0,1
Crimen injuria,7,10,18,20,26,12,21,15,9,14
Neglect and ill-treatment of children ,0,0,3,2,0,0,0,0,1,0
Kidnapping,1,0,1,0,0,3,2,1,1,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Amsterdam (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,2,4,6,2,7,4,1,5,2
Total Sexual Crimes,31,22,35,14,23,18,13,24,22,25
Attempted murder,6,11,16,5,9,8,10,2,5,3
Assault with the intent to inflict grievous bodily harm,126,133,118,128,124,120,99,101,113,81
Common assault,90,119,128,88,97,58,84,65,71,67
Common robbery,30,30,23,9,23,9,18,20,22,16
Robbery with aggravating circumstances,23,14,9,28,18,25,19,28,23,20
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,5,2,4,6,4,1,1,2,4
Malicious damage to property,45,32,62,59,38,37,41,43,52,28
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,28,12,13,18,7,24,18,52,24,35
Burglary at residential premises,139,108,98,100,97,72,86,105,131,75
Theft of motor vehicle and motorcycle,18,28,25,12,12,14,15,8,17,11
Theft out of or from motor vehicle,23,27,19,26,21,23,33,34,35,36
Stock-theft,104,70,79,89,76,74,77,46,83,83
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4,4,1,7,3,2,7,2,0,8
Drug-related crime,8,16,21,12,13,16,27,23,25,27
Driving under the influence of alcohol or drugs,1,2,9,6,3,12,6,3,3,6
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,126,145,106,82,109,117,165,182,121,96
Commercial crime,3,14,9,8,6,9,4,12,13,11
Shoplifting,11,15,4,7,2,6,6,2,6,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,2,0,0,1,0,0,0,5,1
Truck hijacking,0,0,0,0,0,0,0,2,0,0
Robbery at residential premises,3,0,1,7,5,5,4,4,3,6
Robbery at non-residential premises,0,1,0,0,0,3,8,13,5,5
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,4,14,5,6,4,5,5,8,7
Public violence,0,0,0,0,0,0,0,1,0,1
Crimen injuria,18,11,7,14,15,16,11,15,6,4
Neglect and ill-treatment of children ,0,0,1,0,0,0,0,1,1,0
Kidnapping,0,0,0,0,0,1,0,1,1,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Badplaas (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,2,5,2,3,2,2,1,5,4
Total Sexual Crimes,16,13,12,16,24,20,15,18,13,9
Attempted murder,14,5,10,4,4,7,7,2,1,3
Assault with the intent to inflict grievous bodily harm,72,52,51,53,48,46,37,43,40,41
Common assault,60,46,102,70,65,49,41,62,57,39
Common robbery,16,1,15,11,12,16,14,15,7,7
Robbery with aggravating circumstances,11,9,5,8,8,17,16,29,6,9
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,0,1,1,1,1,0,2,4,1
Malicious damage to property,33,42,26,33,21,36,31,12,23,8
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,8,2,8,6,14,18,19,15,11,15
Burglary at residential premises,59,87,68,60,58,51,60,49,46,47
Theft of motor vehicle and motorcycle,3,7,5,6,8,1,1,5,6,14
Theft out of or from motor vehicle,13,18,10,8,4,9,25,13,9,4
Stock-theft,59,63,44,30,32,44,51,45,46,33
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,2,5,0,2,1,3,3,1,5
Drug-related crime,8,1,13,6,12,5,12,6,23,19
Driving under the influence of alcohol or drugs,8,1,11,8,18,8,10,10,16,27
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,126,141,125,122,91,115,106,81,82,64
Commercial crime,3,10,5,3,10,13,7,24,10,23
Shoplifting,10,1,4,5,1,0,3,10,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,0,0,0,1,2,1,0,1,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,2,8,4,0,2
Robbery at non-residential premises,0,0,0,0,0,3,1,4,0,5
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,8,9,8,9,10,10,15,12,13
Public violence,0,0,1,0,2,4,2,0,2,0
Crimen injuria,30,8,17,11,7,7,9,10,7,5
Neglect and ill-treatment of children ,0,4,3,0,0,1,1,1,2,3
Kidnapping,1,0,0,0,2,0,1,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Balfour (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,7,11,9,6,4,6,6,13,3,9
Total Sexual Crimes,30,33,42,47,32,50,44,59,45,41
Attempted murder,5,10,6,6,3,4,12,8,2,5
Assault with the intent to inflict grievous bodily harm,141,174,154,186,146,161,150,179,149,130
Common assault,137,121,120,104,104,97,89,89,88,67
Common robbery,21,24,30,28,32,22,29,41,24,27
Robbery with aggravating circumstances,28,27,24,23,39,41,54,57,71,41
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,9,3,3,5,6,10,9,1,3
Malicious damage to property,59,37,73,59,59,61,79,78,76,42
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,68,30,16,9,50,28,42,29,62,72
Burglary at residential premises,178,191,156,168,184,147,181,236,224,227
Theft of motor vehicle and motorcycle,13,31,11,38,30,44,31,31,21,27
Theft out of or from motor vehicle,24,44,31,15,22,24,42,34,44,44
Stock-theft,26,8,8,9,18,6,26,37,35,20
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4,2,4,1,2,2,5,7,5,2
Drug-related crime,31,17,22,17,20,29,27,31,33,67
Driving under the influence of alcohol or drugs,19,10,19,15,14,17,12,31,18,45
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,233,181,254,275,227,223,234,264,221,231
Commercial crime,10,11,15,21,57,31,26,57,77,92
Shoplifting,10,4,3,4,2,7,7,12,8,4
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,2,1,0,2,12,6,11,14,4
Truck hijacking,1,3,2,1,4,3,4,3,7,7
Robbery at residential premises,0,0,0,0,0,1,7,8,5,5
Robbery at non-residential premises,0,0,0,0,0,6,7,5,14,13
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,12,6,11,15,13,13,15,13,10,17
Public violence,1,0,0,0,0,0,6,1,0,0
Crimen injuria,19,16,19,11,13,13,16,8,11,14
Neglect and ill-treatment of children ,7,5,7,1,4,2,2,2,3,5
Kidnapping,1,0,0,0,0,0,0,2,1,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Barberton (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,20,19,14,14,10,9,32,8,9,9
Total Sexual Crimes,101,94,79,81,82,80,115,101,86,82
Attempted murder,26,26,18,22,39,37,62,12,7,13
Assault with the intent to inflict grievous bodily harm,560,431,445,513,500,590,506,437,418,320
Common assault,379,336,331,300,268,228,237,250,273,266
Common robbery,36,39,62,82,107,78,52,51,68,57
Robbery with aggravating circumstances,42,40,42,49,76,62,125,70,84,69
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,16,18,14,17,16,13,15,4,7,9
Malicious damage to property,174,169,180,193,188,206,150,165,189,144
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,22,17,15,10,31,34,22,51,47,85
Burglary at residential premises,381,345,407,423,417,383,378,428,453,377
Theft of motor vehicle and motorcycle,35,50,48,44,47,50,17,17,26,32
Theft out of or from motor vehicle,83,74,44,53,77,58,61,86,103,52
Stock-theft,13,4,4,19,13,15,33,31,49,28
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,9,7,5,5,11,19,6,6,6,12
Drug-related crime,45,41,34,29,25,21,25,68,40,43
Driving under the influence of alcohol or drugs,3,5,7,10,22,26,26,32,65,140
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,802,792,592,498,420,395,447,415,463,352
Commercial crime,53,61,44,38,48,47,58,61,69,66
Shoplifting,106,66,55,52,71,56,70,37,66,48
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,6,2,6,7,6,7,9,5,4,9
Truck hijacking,0,0,0,1,2,0,1,0,0,0
Robbery at residential premises,0,1,1,2,7,12,40,23,26,19
Robbery at non-residential premises,0,0,0,0,0,9,14,11,22,17
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,20,16,17,11,12,18,14,18,16,13
Public violence,0,0,3,0,3,2,0,0,0,5
Crimen injuria,93,82,74,70,73,35,28,33,32,31
Neglect and ill-treatment of children ,3,4,1,0,1,2,5,4,7,3
Kidnapping,1,1,0,0,0,3,2,3,1,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Belfast (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,7,6,9,2,3,6,2,5,3,5
Total Sexual Crimes,40,36,36,37,26,24,20,29,21,25
Attempted murder,18,20,11,5,10,7,8,4,3,4
Assault with the intent to inflict grievous bodily harm,132,121,153,116,96,132,125,117,112,102
Common assault,122,125,149,97,68,54,53,49,55,52
Common robbery,26,33,39,40,16,26,13,21,22,20
Robbery with aggravating circumstances,29,35,17,30,30,29,33,26,26,30
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,2,5,2,3,11,8,3,2,5
Malicious damage to property,67,66,101,70,72,105,75,69,70,60
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,36,31,34,38,53,36,60,43,47,68
Burglary at residential premises,156,141,132,145,104,109,112,134,139,169
Theft of motor vehicle and motorcycle,24,50,40,24,36,24,25,19,19,23
Theft out of or from motor vehicle,79,66,37,25,26,31,44,37,54,50
Stock-theft,75,72,64,72,77,57,61,65,69,101
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,2,0,1,2,1,3,2,5,4
Drug-related crime,8,10,10,13,4,5,12,9,20,40
Driving under the influence of alcohol or drugs,17,20,12,12,9,18,12,13,39,77
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,269,212,240,248,177,250,183,150,153,170
Commercial crime,29,22,18,22,45,38,41,43,44,45
Shoplifting,26,9,10,22,12,18,44,54,49,24
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,2,5,11,2,2,3,1,1
Truck hijacking,0,0,1,0,1,4,12,6,9,3
Robbery at residential premises,0,0,0,0,3,4,5,3,4,6
Robbery at non-residential premises,0,0,1,2,7,11,2,3,6,14
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,18,19,19,19,20,24,30,13,22,16
Public violence,0,0,0,0,0,0,1,0,3,2
Crimen injuria,29,29,25,21,9,8,11,12,9,3
Neglect and ill-treatment of children ,2,0,2,0,0,1,0,1,1,0
Kidnapping,0,2,0,2,1,3,0,0,0,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bethal (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,4,5,3,4,4,6,4,4,4
Total Sexual Crimes,26,20,26,18,14,19,21,18,22,23
Attempted murder,9,1,2,1,6,5,5,1,2,2
Assault with the intent to inflict grievous bodily harm,55,61,46,46,53,49,46,39,53,40
Common assault,144,114,111,100,121,135,91,76,81,65
Common robbery,16,15,18,18,29,31,21,15,27,33
Robbery with aggravating circumstances,31,29,18,29,49,54,52,47,32,37
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,3,3,3,0,4,3,2,3,1
Malicious damage to property,96,82,62,78,81,103,78,64,41,48
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,68,58,61,48,96,134,135,82,44,54
Burglary at residential premises,123,113,81,99,108,94,143,53,72,86
Theft of motor vehicle and motorcycle,74,60,61,61,116,59,57,41,36,24
Theft out of or from motor vehicle,53,44,55,59,80,122,53,47,66,83
Stock-theft,110,67,66,65,71,54,65,40,41,44
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,6,0,4,2,2,3,6,3,1,3
Drug-related crime,32,31,16,25,12,23,21,21,24,24
Driving under the influence of alcohol or drugs,27,18,10,18,43,55,44,49,69,74
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,508,404,318,279,381,359,243,249,267,267
Commercial crime,51,51,25,47,54,45,49,39,44,55
Shoplifting,69,79,60,69,65,47,86,61,57,88
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,1,1,0,1,4,5,2,1,1
Truck hijacking,1,4,1,3,8,11,2,15,6,3
Robbery at residential premises,0,0,0,0,6,0,6,3,1,2
Robbery at non-residential premises,0,0,0,2,1,12,20,12,16,14
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,11,14,15,20,24,27,31,23,26,12
Public violence,3,1,0,0,0,0,1,1,0,1
Crimen injuria,29,31,30,27,25,36,24,17,12,11
Neglect and ill-treatment of children ,0,0,0,0,2,0,0,1,1,1
Kidnapping,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Blinkpan (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,3,3,6,9,9,11,7,5,3
Total Sexual Crimes,19,22,31,23,13,26,16,22,16,9
Attempted murder,9,10,3,10,6,3,10,5,1,1
Assault with the intent to inflict grievous bodily harm,114,105,86,56,51,46,39,33,41,34
Common assault,128,109,130,152,116,107,122,65,81,42
Common robbery,21,21,16,18,19,13,23,9,11,11
Robbery with aggravating circumstances,32,29,27,28,21,36,39,25,12,21
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,4,1,3,3,2,4,1,1,0
Malicious damage to property,55,51,46,40,33,46,50,45,46,68
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,24,11,12,14,33,65,56,34,19,23
Burglary at residential premises,101,85,72,87,69,58,43,43,37,42
Theft of motor vehicle and motorcycle,18,33,12,21,14,27,17,38,23,25
Theft out of or from motor vehicle,37,36,17,15,26,26,32,16,16,16
Stock-theft,19,16,7,8,8,7,14,7,10,8
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,6,4,5,4,1,2,0,2,1,6
Drug-related crime,1,1,5,12,5,4,18,35,32,39
Driving under the influence of alcohol or drugs,13,16,8,4,6,5,15,13,10,25
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,371,334,357,416,422,497,464,463,509,455
Commercial crime,7,4,6,7,8,6,4,2,5,6
Shoplifting,2,0,1,1,0,0,0,2,2,9
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,2,0,1,2,7,4,2,1,3
Truck hijacking,0,3,0,0,1,2,5,5,1,0
