Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Free State Provincial Total  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Common robbery,17,22,18,17,13,15,18,14,7,13
Robbery with aggravating circumstances,9,20,14,20,43,32,50,28,20,14
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,5,1,6,2,2,0,1,0,0
Malicious damage to property,120,73,124,86,93,55,46,37,31,30
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,21,7,4,5,18,40,13,17,13,12
Burglary at residential premises,242,187,161,208,275,188,227,261,272,302
Theft of motor vehicle and motorcycle,116,111,99,71,108,99,123,93,69,74
Theft out of or from motor vehicle,322,224,279,263,138,146,79,84,108,93
Stock-theft,8,6,1,7,6,2,4,5,4,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,1,1,4,1,1,2,0,2,1
Drug-related crime,4,2,20,36,21,35,27,22,29,35
Driving under the influence of alcohol or drugs,6,7,2,1,10,10,11,5,9,4
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,496,442,358,397,340,310,312,256,246,242
Commercial crime,29,21,31,21,41,52,94,144,79,105
Shoplifting,5,5,12,15,17,14,13,16,8,17
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,2,0,1,1,2,2,2,0,2
Truck hijacking,0,1,0,0,0,0,0,0,0,0
Robbery at residential premises,1,2,0,0,11,5,14,8,8,5
Robbery at non-residential premises,0,0,0,0,2,4,8,3,5,1
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,9,3,6,5,7,5,3,6,7
Public violence,0,0,0,2,0,0,0,0,0,0
Crimen injuria,20,29,16,23,24,22,28,15,23,22
Neglect and ill-treatment of children ,0,0,0,1,1,0,0,0,1,0
Kidnapping,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bethlehem (FS)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,29,19,18,28,21,13,16,18,24,22
Total Sexual Crimes,188,178,188,166,163,154,162,155,187,154
Attempted murder,33,29,19,19,16,15,10,16,18,29
Assault with the intent to inflict grievous bodily harm,600,561,528,519,533,456,432,427,430,439
Common assault,1238,997,896,749,925,1015,996,845,842,845
Common robbery,171,120,150,118,145,93,88,71,73,83
Robbery with aggravating circumstances,81,85,87,96,89,98,112,118,130,103
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,12,20,9,14,19,19,13,3,21,13
Malicious damage to property,522,556,537,489,433,496,462,397,407,410
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,230,179,170,156,146,227,187,195,214,288
Burglary at residential premises,563,486,577,515,513,546,704,609,560,640
Theft of motor vehicle and motorcycle,99,106,104,77,60,37,44,36,65,54
Theft out of or from motor vehicle,434,257,244,274,174,208,220,181,229,247
Stock-theft,157,148,137,139,77,126,153,109,118,152
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,14,12,19,5,8,15,9,9,4,3
Drug-related crime,192,177,277,856,300,188,206,101,99,100
Driving under the influence of alcohol or drugs,52,75,76,50,58,44,44,55,59,57
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1563,1044,1101,914,924,868,856,774,711,714
Commercial crime,140,183,166,161,142,172,197,218,952,251
Shoplifting,138,185,178,177,194,229,213,177,202,228
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,3,3,2,4,0,3,3,1,6
Truck hijacking,0,1,1,1,1,0,2,2,0,3
Robbery at residential premises,0,0,2,0,0,3,14,12,9,7
Robbery at non-residential premises,0,1,2,0,1,9,10,16,24,15
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,26,26,28,27,26,32,30,17,24,28
Public violence,2,1,1,10,0,2,0,1,2,0
Crimen injuria,257,239,201,224,275,344,271,211,239,234
Neglect and ill-treatment of children ,9,15,24,16,19,23,19,10,8,10
Kidnapping,9,10,9,6,13,8,6,9,6,8
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bethulie (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,5,7,2,3,1,1,5,1,2
Total Sexual Crimes,20,24,15,12,15,13,16,20,20,12
Attempted murder,3,1,0,0,1,1,2,3,2,1
Assault with the intent to inflict grievous bodily harm,88,85,63,46,63,64,35,55,53,48
Common assault,187,201,102,77,59,66,51,61,50,39
Common robbery,8,8,5,9,4,3,2,0,0,3
Robbery with aggravating circumstances,1,2,2,2,4,6,3,3,3,4
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,2,0,2,2,3,0,1,1
Malicious damage to property,34,35,30,21,14,21,13,14,16,17
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,17,50,37,31,17,15,13,9,23,15
Burglary at residential premises,70,69,43,48,49,40,45,32,50,35
Theft of motor vehicle and motorcycle,0,1,0,2,0,0,3,4,0,2
Theft out of or from motor vehicle,10,8,12,8,5,2,2,2,3,0
Stock-theft,94,44,27,43,42,24,34,31,42,38
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,1,0,0,0,1,0,1,2,1
Drug-related crime,20,26,18,13,10,23,8,13,11,18
Driving under the influence of alcohol or drugs,2,2,0,0,1,5,1,1,1,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,97,97,83,62,52,43,47,32,36,27
Commercial crime,7,2,3,2,11,3,2,7,3,4
Shoplifting,20,11,21,16,7,4,5,5,3,3
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,1,1,0,0,3
Robbery at non-residential premises,0,0,0,0,1,3,0,2,3,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,2,0,1,0,1,1,2,1,0
Public violence,0,0,0,0,1,0,0,0,0,0
Crimen injuria,101,66,36,7,13,23,13,11,25,2
Neglect and ill-treatment of children ,0,2,2,2,1,1,2,4,5,1
Kidnapping,0,0,1,0,0,1,0,0,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bloemspruit (FS)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
"Bloemspruit, Park Road and Batho ceded Mangaung June 2004",,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,64,56,55,67,63,69,79,79,75,76
Total Sexual Crimes,238,221,242,238,253,239,256,281,292,285
Attempted murder,85,116,95,127,66,63,72,57,72,74
Assault with the intent to inflict grievous bodily harm,663,705,634,594,682,680,733,828,846,807
Common assault,927,1054,933,828,770,886,835,870,926,818
Common robbery,137,139,121,125,123,107,85,100,91,77
Robbery with aggravating circumstances,125,120,152,134,132,253,198,246,277,273
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,41,44,25,34,43,28,43,37,17,25
Malicious damage to property,273,370,364,331,308,427,406,400,406,348
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,8,19,17,10,14,21,30,47,32,39
Burglary at residential premises,686,725,696,647,643,728,676,600,625,525
Theft of motor vehicle and motorcycle,41,22,42,36,32,62,65,56,60,42
Theft out of or from motor vehicle,37,60,58,54,48,63,60,70,69,43
Stock-theft,140,104,89,91,75,66,111,120,126,100
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,24,19,13,22,14,16,12,17,41,53
Drug-related crime,100,106,148,149,94,122,109,128,183,299
Driving under the influence of alcohol or drugs,14,12,16,14,14,15,20,23,23,20
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,674,622,531,525,640,815,816,715,537,438
Commercial crime,16,22,9,10,23,33,23,27,25,31
Shoplifting,6,4,10,1,5,2,0,1,0,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,4,2,4,8,22,19,14,23,31
Truck hijacking,0,0,0,1,1,2,1,0,0,0
Robbery at residential premises,13,0,0,0,3,55,55,51,49,40
Robbery at non-residential premises,0,1,1,2,4,52,31,61,59,57
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,20,23,24,22,38,34,16,19,16,19
Public violence,0,3,0,0,2,2,4,3,2,10
Crimen injuria,151,225,186,128,160,182,139,169,178,109
Neglect and ill-treatment of children ,20,11,7,5,8,12,7,15,15,16
Kidnapping,1,1,2,2,0,5,2,3,13,8
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Boithuso (FS)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,31,28,25,34,27,24,29,32,40,34
Total Sexual Crimes,179,185,125,134,132,140,183,177,152,174
Attempted murder,24,26,7,28,23,19,15,17,20,16
Assault with the intent to inflict grievous bodily harm,876,814,735,696,730,621,601,603,558,587
Common assault,164,138,134,126,393,507,519,614,602,651
Common robbery,146,152,123,162,147,72,55,66,59,56
Robbery with aggravating circumstances,43,68,53,29,29,66,88,76,109,166
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,18,21,7,12,5,3,3,4,6,4
Malicious damage to property,158,173,165,188,259,263,218,268,282,296
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,8,22,10,22,42,79,71,74,76,66
Burglary at residential premises,474,413,380,429,390,379,347,379,379,396
Theft of motor vehicle and motorcycle,17,12,7,21,9,9,7,11,8,11
Theft out of or from motor vehicle,22,15,25,32,17,10,25,27,22,29
Stock-theft,71,26,32,51,61,40,36,44,74,80
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,13,7,4,10,5,6,15,10,6,9
Drug-related crime,22,29,32,60,51,135,247,156,84,123
Driving under the influence of alcohol or drugs,17,15,16,14,29,39,36,24,16,38
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,378,284,194,174,243,235,181,187,188,173
Commercial crime,5,5,4,5,5,11,6,5,5,13
Shoplifting,1,0,1,0,0,0,0,0,1,0
