Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  KwaZulu-Natal  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Robbery at residential premises,1617,1435,1821,2666,3479,4601,4580,3998,3751,4119
Robbery at non-residential premises,435,382,518,997,1923,2499,2066,1943,1911,2353
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2287,2504,2589,2573,2640,2469,2400,2391,2411,2282
Public violence,95,95,131,111,76,96,144,138,117,132
Crimen injuria,7241,7417,7241,5952,5156,5132,5542,5904,6206,5641
Neglect and ill-treatment of children ,685,687,637,467,448,490,455,372,302,306
Kidnapping,693,714,680,696,716,686,769,839,839,896
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alexandra Road (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,13,12,18,29,19,28,18,30,19,28
Total Sexual Crimes,54,57,74,61,66,76,95,87,106,109
Attempted murder,18,20,13,14,10,15,25,24,21,18
Assault with the intent to inflict grievous bodily harm,61,75,83,100,95,110,175,140,149,136
Common assault,324,273,255,228,209,202,304,334,304,298
Common robbery,98,96,52,65,44,48,47,71,69,76
Robbery with aggravating circumstances,104,111,150,165,170,192,248,191,215,243
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,2,2,8,7,9,7,6,3,3
Malicious damage to property,162,184,251,319,255,199,224,285,227,222
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,111,82,90,105,57,49,107,84,89,109
Burglary at residential premises,771,631,659,732,618,520,556,586,816,706
Theft of motor vehicle and motorcycle,186,261,272,294,265,299,329,363,335,255
Theft out of or from motor vehicle,485,394,421,411,368,337,406,365,315,256
Stock-theft,15,8,10,3,7,6,7,11,7,8
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,17,10,6,15,9,11,16,14,17,33
Drug-related crime,93,130,157,228,239,231,297,225,212,211
Driving under the influence of alcohol or drugs,59,103,115,207,503,641,446,104,72,53
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,790,623,742,818,705,650,554,723,708,617
Commercial crime,66,51,98,197,140,191,173,217,125,124
Shoplifting,123,99,93,75,61,75,87,89,77,80
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,11,19,16,17,10,29,16,17,15,19
Truck hijacking,1,2,0,2,5,0,4,1,1,2
Robbery at residential premises,9,19,21,16,26,42,47,33,50,43
Robbery at non-residential premises,2,4,1,2,8,17,28,13,12,25
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,17,18,24,21,24,28,17,18,21,18
Public violence,0,0,0,0,1,0,3,1,1,0
Crimen injuria,36,43,43,44,28,47,37,60,65,50
Neglect and ill-treatment of children ,0,2,1,3,3,3,8,7,4,0
Kidnapping,0,1,2,0,1,0,0,3,4,4
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Amangwe (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Amangwe was previously named Loskop,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,50,37,18,37,19,28,24,15,16,17
Total Sexual Crimes,36,49,49,42,39,36,38,47,52,55
Attempted murder,52,30,22,37,20,22,21,18,23,26
Assault with the intent to inflict grievous bodily harm,131,122,149,120,77,55,57,102,65,87
Common assault,58,72,70,44,45,25,48,39,44,47
Common robbery,18,25,11,13,11,5,9,9,11,14
Robbery with aggravating circumstances,33,42,63,46,46,19,21,27,35,41
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,4,8,17,6,10,5,6,9,5
Malicious damage to property,38,49,48,33,35,21,30,29,18,18
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7,2,2,4,3,5,15,10,21,9
Burglary at residential premises,118,110,157,116,87,93,102,105,107,92
Theft of motor vehicle and motorcycle,6,1,4,5,2,8,4,5,2,3
Theft out of or from motor vehicle,16,15,12,13,10,7,6,10,13,19
Stock-theft,201,141,153,139,196,110,143,147,125,129
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,42,84,24,25,41,56,50,60,65,47
Drug-related crime,1,35,9,20,26,26,17,20,33,14
Driving under the influence of alcohol or drugs,1,0,0,1,7,0,1,2,4,3
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,81,58,38,31,21,20,22,50,43,33
Commercial crime,1,1,1,0,3,0,4,2,4,0
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,4,1,0,1,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,2,9,40,26,31,11,14,14,20,26
Robbery at non-residential premises,0,0,0,0,1,0,1,3,1,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,1,7,0,5,3,3,1,11,7
Public violence,1,0,0,0,0,0,0,0,1,1
Crimen injuria,2,2,1,0,0,1,0,3,2,2
Neglect and ill-treatment of children ,0,3,1,1,0,1,0,0,1,0
Kidnapping,0,0,0,3,4,1,2,0,1,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Amanzimtoti (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,26,18,17,22,14,16,21,16,20,13
Total Sexual Crimes,47,57,61,61,45,67,58,71,54,49
Attempted murder,40,38,20,22,24,14,25,17,14,28
Assault with the intent to inflict grievous bodily harm,88,71,86,86,69,69,66,64,72,62
Common assault,249,213,157,151,111,136,175,159,179,133
Common robbery,124,88,130,127,77,91,71,62,90,77
Robbery with aggravating circumstances,272,163,201,278,188,206,219,166,252,252
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,6,2,4,3,5,4,0,4,3
Malicious damage to property,302,291,271,286,200,163,195,187,138,148
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,115,89,59,91,95,85,107,58,91,113
Burglary at residential premises,1024,561,613,722,530,589,543,558,583,914
Theft of motor vehicle and motorcycle,498,299,476,490,353,301,348,274,288,319
Theft out of or from motor vehicle,829,484,458,472,238,184,235,206,283,283
Stock-theft,8,16,5,4,4,6,5,10,6,3
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,23,38,62,94,21,28,41,36,29,23
Drug-related crime,122,252,315,357,322,348,304,383,301,229
Driving under the influence of alcohol or drugs,79,176,264,392,368,457,549,619,432,496
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,988,895,688,638,574,629,671,618,653,566
Commercial crime,111,85,80,86,89,124,206,217,220,209
Shoplifting,120,117,104,114,113,169,284,350,358,387
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,25,24,20,89,46,64,62,35,90,80
Truck hijacking,0,1,1,0,0,0,0,3,0,1
Robbery at residential premises,5,4,7,22,46,54,40,27,33,47
Robbery at non-residential premises,2,1,8,9,5,22,13,13,15,15
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,21,24,20,23,22,21,27,14,21,16
Public violence,0,1,2,1,0,0,0,0,0,1
Crimen injuria,71,76,79,35,46,33,34,37,24,27
Neglect and ill-treatment of children ,3,4,4,2,7,5,1,5,0,2
Kidnapping,1,0,2,0,1,2,1,5,4,8
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Babanango (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,9,11,10,16,3,8,4,9,5,6
Total Sexual Crimes,15,19,19,24,22,18,29,23,25,19
Attempted murder,7,8,6,7,9,4,13,6,4,0
Assault with the intent to inflict grievous bodily harm,86,62,52,69,92,81,81,86,56,67
Common assault,46,35,24,37,37,26,30,35,26,24
Common robbery,11,6,9,14,13,9,11,6,6,10
Robbery with aggravating circumstances,17,18,9,18,16,18,14,16,7,12
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,8,5,9,14,2,4,7,3,6
Malicious damage to property,24,21,19,20,25,33,24,25,27,22
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7,8,17,12,13,16,12,17,7,14
Burglary at residential premises,54,53,42,42,19,23,25,22,26,17
Theft of motor vehicle and motorcycle,0,4,2,1,2,2,3,3,1,4
Theft out of or from motor vehicle,5,4,2,4,3,6,4,8,6,16
Stock-theft,235,213,152,125,120,96,94,70,76,112
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,15,4,5,16,12,8,4,8,10,13
Drug-related crime,11,5,28,46,18,16,38,20,33,25
Driving under the influence of alcohol or drugs,2,1,2,4,3,7,10,3,1,4
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,94,98,74,42,70,82,73,41,55,47
Commercial crime,3,5,8,6,4,4,3,1,2,7
Shoplifting,4,1,2,0,1,2,1,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,3,1,3,2,1,0,1,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,0,0,1,0,1,4,7,3,4
Robbery at non-residential premises,0,0,0,0,0,2,2,2,0,1
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,7,8,14,10,16,8,10,16,0,15
Public violence,0,0,0,1,1,0,0,1,0,0
Crimen injuria,3,5,7,3,8,14,7,9,10,11
Neglect and ill-treatment of children ,0,0,1,1,0,1,0,0,0,0
Kidnapping,0,1,0,0,0,3,0,1,1,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bayview (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,19,5,11,8,15,15,6,12,9,1
Total Sexual Crimes,37,40,31,39,29,32,51,44,28,37
Attempted murder,59,43,43,40,48,41,16,20,10,19
Assault with the intent to inflict grievous bodily harm,162,157,129,126,94,80,96,112,109,97
Common assault,293,280,307,230,215,178,248,214,237,181
Common robbery,63,100,89,111,56,68,41,51,61,35
Robbery with aggravating circumstances,217,193,205,249,252,295,200,139,178,206
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,3,5,5,3,4,3,4,4,8
Malicious damage to property,140,114,136,117,80,77,87,125,117,92
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,29,6,17,21,22,23,20,46,35,55
Burglary at residential premises,325,295,268,280,190,215,264,313,293,390
Theft of motor vehicle and motorcycle,179,111,132,135,173,187,135,177,142,148
Theft out of or from motor vehicle,201,199,210,129,60,49,112,156,161,133
Stock-theft,0,0,0,1,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,11,6,9,11,6,8,5,18,4,3
Drug-related crime,114,126,225,294,279,241,462,448,350,327
Driving under the influence of alcohol or drugs,39,114,72,66,118,65,44,53,99,51
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,346,280,287,280,265,245,240,314,258,214
Commercial crime,15,20,21,24,34,39,51,47,24,22
Shoplifting,1,2,2,4,8,8,5,3,5,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,108,53,72,96,111,160,107,46,86,98
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,2,1,4,16,29,48,27,37,15,49
Robbery at non-residential premises,1,0,2,2,4,16,12,8,10,10
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,12,10,5,4,7,4,9,6,7,7
Public violence,0,0,2,1,2,0,0,0,0,0
Crimen injuria,105,133,133,91,46,49,59,54,38,43
Neglect and ill-treatment of children ,13,6,5,3,6,0,3,2,0,0
Kidnapping,9,3,4,7,7,5,0,2,0,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bellair (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,11,8,7,7,9,6,3,4,2,3
Total Sexual Crimes,22,31,30,28,19,40,36,245,197,191
Attempted murder,9,13,9,7,10,8,4,3,6,1
Assault with the intent to inflict grievous bodily harm,44,49,43,44,38,29,54,58,40,47
Common assault,128,121,100,117,107,115,86,83,100,104
Common robbery,41,18,16,25,28,17,28,21,18,40
Robbery with aggravating circumstances,93,63,69,97,83,96,88,77,86,140
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,1,2,2,1,1,0,2,3,6
Malicious damage to property,77,63,58,65,55,39,64,59,54,54
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,44,33,16,22,11,22,27,26,27,36
Burglary at residential premises,405,313,266,256,240,246,215,401,505,534
Theft of motor vehicle and motorcycle,179,126,152,132,100,114,137,144,193,120
Theft out of or from motor vehicle,156,107,109,96,48,63,66,111,97,139
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,6,6,7,8,7,6,5,5,11,2
Drug-related crime,48,58,90,114,64,91,129,181,220,298
Driving under the influence of alcohol or drugs,40,33,90,88,96,70,51,57,178,208
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,252,176,159,149,192,168,208,299,368,330
Commercial crime,27,39,83,36,34,37,76,48,72,72
Shoplifting,31,18,8,3,16,45,28,43,34,37
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,11,8,13,19,16,12,27,16,21,48
Truck hijacking,0,2,0,1,1,1,1,2,0,1
Robbery at residential premises,2,2,5,11,19,25,17,14,15,30
Robbery at non-residential premises,1,7,5,1,11,12,7,7,3,9
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,4,18,10,5,18,17,11,13,11
Public violence,0,0,0,0,0,0,0,1,1,0
Crimen injuria,35,38,27,28,35,28,37,18,31,25
Neglect and ill-treatment of children ,5,2,2,1,1,1,3,3,1,3
Kidnapping,1,0,1,1,2,4,3,3,4,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Berea (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,7,6,6,6,10,2,2,4,2
Total Sexual Crimes,12,17,13,25,25,33,22,27,33,22
Attempted murder,6,6,3,5,9,4,9,1,5,5
Assault with the intent to inflict grievous bodily harm,16,24,22,39,32,28,32,39,32,29
Common assault,103,171,169,176,160,161,174,174,159,144
Common robbery,81,115,100,86,63,60,91,73,62,64
Robbery with aggravating circumstances,150,209,264,342,279,289,290,230,194,172
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,1,0,0,0,0,1,2,0,0
Malicious damage to property,492,356,301,291,223,162,160,199,226,172
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,62,73,81,120,76,100,106,147,173,154
Burglary at residential premises,361,532,648,557,303,343,377,411,540,357
Theft of motor vehicle and motorcycle,852,1046,808,651,638,588,497,468,664,708
Theft out of or from motor vehicle,751,752,528,423,293,283,315,381,547,572
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,9,20,8,13,14,8,5,10,14,7
Drug-related crime,27,44,76,87,76,68,94,94,113,156
Driving under the influence of alcohol or drugs,14,32,36,133,135,176,140,151,172,348
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1623,1324,957,850,710,749,662,669,755,575
Commercial crime,166,164,154,193,170,236,196,247,160,172
Shoplifting,175,173,185,102,146,210,215,126,149,159
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,20,19,26,50,38,79,86,69,65,47
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,3,6,10,27,23,30,16,21,14,8
Robbery at non-residential premises,9,9,6,3,15,15,7,5,7,11
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,3,7,2,7,5,4,6,2,4
Public violence,0,1,0,0,0,4,1,1,1,0
Crimen injuria,32,38,52,50,49,37,40,26,35,21
Neglect and ill-treatment of children ,3,5,0,1,0,4,2,4,3,1
Kidnapping,1,0,5,1,1,3,2,1,2,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bergville (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,25,21,24,21,30,28,20,18,16,14
Total Sexual Crimes,47,44,41,34,35,51,53,62,69,69
Attempted murder,18,13,11,16,19,27,15,17,9,12
Assault with the intent to inflict grievous bodily harm,156,95,117,93,122,137,101,118,126,127
Common assault,111,76,70,81,69,90,108,85,109,103
Common robbery,18,10,13,13,6,17,17,8,18,20
Robbery with aggravating circumstances,25,18,20,32,30,31,34,21,29,29
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,12,16,11,15,16,12,13,5,11,5
Malicious damage to property,67,56,50,57,44,45,53,57,61,50
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,36,29,37,39,41,43,49,45,43,43
Burglary at residential premises,217,210,146,159,123,147,147,124,89,129
Theft of motor vehicle and motorcycle,11,15,20,8,6,7,13,9,11,8
Theft out of or from motor vehicle,46,56,32,18,15,19,14,25,15,12
Stock-theft,161,139,226,227,278,244,214,180,205,177
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,25,18,18,32,57,45,29,38,33,42
Drug-related crime,31,62,29,25,24,48,45,33,25,43
Driving under the influence of alcohol or drugs,7,17,6,9,13,7,13,7,9,34
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,276,217,163,197,176,165,178,163,230,255
Commercial crime,21,10,21,13,10,25,14,16,16,27
Shoplifting,19,26,14,13,28,20,25,42,37,75
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,3,4,1,3,2,9,2,0,3,2
Truck hijacking,0,0,0,0,2,2,0,0,0,1
Robbery at residential premises,2,1,0,1,2,5,16,15,14,9
Robbery at non-residential premises,1,0,0,0,2,1,6,0,4,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,12,19,17,16,11,15,22,17,16,15
Public violence,0,0,0,0,1,0,0,0,2,0
Crimen injuria,4,3,1,8,7,9,6,10,12,6
Neglect and ill-treatment of children ,1,0,1,0,0,0,0,1,0,0
Kidnapping,0,0,2,1,3,2,3,5,6,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Besters (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,8,6,8,8,12,3,6,7,7,9
Total Sexual Crimes,19,27,38,36,32,25,35,36,26,19
Attempted murder,7,13,9,10,12,10,16,3,11,13
Assault with the intent to inflict grievous bodily harm,81,85,69,77,74,69,94,88,84,83
Common assault,89,67,71,61,62,64,84,75,66,72
Common robbery,13,12,13,14,9,12,17,14,9,14
Robbery with aggravating circumstances,27,36,27,26,30,36,116,62,38,22
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,6,2,2,9,1,3,5,1,0
Malicious damage to property,44,52,45,40,42,28,43,28,38,42
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,20,8,4,5,8,10,20,13,16,13
Burglary at residential premises,92,83,80,68,43,68,63,53,43,44
Theft of motor vehicle and motorcycle,7,3,3,5,2,0,5,4,1,3
Theft out of or from motor vehicle,47,74,80,70,40,61,67,21,16,20
Stock-theft,152,98,70,98,87,64,69,106,124,108
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4,3,4,3,7,3,16,12,7,14
Drug-related crime,4,1,19,6,3,2,5,2,16,8
Driving under the influence of alcohol or drugs,0,4,1,4,5,2,6,10,12,12
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,97,89,78,62,74,116,102,60,74,56
Commercial crime,9,3,4,1,1,1,4,6,3,2
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
