Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Northern Cape   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Driving under the influence of alcohol or drugs,3,6,16,19,13,9,8,7,6,8
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,16,11,19,8,14,12,13,9,9,4
Commercial crime,4,1,0,0,3,1,2,0,0,2
Shoplifting,6,8,3,4,1,2,1,1,5,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,1,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2,4,0,0,0,0,1,1,3,1
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,2,1,1,2,2,1,9,3,1,3
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alexander Bay (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,3,0,2,1,3,1,1,2,1
Total Sexual Crimes,10,9,10,4,7,7,8,8,4,4
Attempted murder,13,4,2,2,3,6,3,3,6,3
Assault with the intent to inflict grievous bodily harm,45,46,40,29,37,28,25,12,28,20
Common assault,61,51,47,15,24,23,13,28,14,7
Common robbery,2,0,3,0,1,2,0,1,1,1
Robbery with aggravating circumstances,0,1,0,0,0,0,0,1,0,0
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,0,2,1,0,0,0,2,0,1
Malicious damage to property,31,22,16,5,18,24,10,6,15,12
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,21,21,7,14,18,15,3,6,7,7
Burglary at residential premises,27,39,38,10,27,45,18,12,25,6
Theft of motor vehicle and motorcycle,1,3,2,0,2,3,1,0,0,1
Theft out of or from motor vehicle,9,3,3,3,2,1,4,0,3,2
Stock-theft,4,1,3,3,4,3,1,0,1,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,4,2,2,0,0,0,1,2,0
Drug-related crime,45,45,29,13,13,23,13,12,14,12
Driving under the influence of alcohol or drugs,0,7,12,6,5,6,6,3,1,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,33,43,29,16,14,27,12,22,16,16
Commercial crime,4,5,2,3,4,1,2,3,3,1
Shoplifting,1,6,3,2,1,1,1,1,1,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,1,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,3,3,2,2,1,0,1,0,0,0
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,4,3,6,2,3,3,2,3,1,3
Neglect and ill-treatment of children ,1,2,0,0,0,1,1,0,0,0
Kidnapping,1,1,0,1,1,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Augrabies (NC)    for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Augrabies was established from Kakamas April 2009,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,0,0,0,0,8,7,5,8
Total Sexual Crimes,0,0,0,0,0,0,35,47,39,34
Attempted murder,0,0,0,0,0,0,4,0,2,7
Assault with the intent to inflict grievous bodily harm,0,0,0,0,0,0,79,83,54,75
Common assault,0,0,0,0,0,0,81,73,42,29
Common robbery,0,0,0,0,0,0,2,1,4,0
Robbery with aggravating circumstances,0,0,0,0,0,0,0,2,1,2
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,0,0,5,0,1,0
Malicious damage to property,0,0,0,0,0,0,27,22,15,19
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,0,0,0,0,0,13,8,17,13
Burglary at residential premises,0,0,0,0,0,0,56,35,27,34
Theft of motor vehicle and motorcycle,0,0,0,0,0,0,1,1,1,0
Theft out of or from motor vehicle,0,0,0,0,0,0,8,8,2,5
Stock-theft,0,0,0,0,0,0,8,6,4,5
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,0,0,0,2,1,1,0
Drug-related crime,0,0,0,0,0,0,62,102,124,72
Driving under the influence of alcohol or drugs,0,0,0,0,0,0,0,2,0,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,0,0,0,0,0,0,59,45,47,51
Commercial crime,0,0,0,0,0,0,2,2,3,3
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,1
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,1,0
Robbery at non-residential premises,0,0,0,0,0,0,0,1,0,1
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,0,0,0,0,0,3,3,2,4
Public violence,0,0,0,0,0,0,1,2,1,0
Crimen injuria,0,0,0,0,0,0,6,5,6,1
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Barkly West (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,4,3,6,3,12,5,5,2,3
Total Sexual Crimes,38,40,32,15,31,34,32,19,27,27
Attempted murder,48,42,34,38,16,25,20,10,10,11
Assault with the intent to inflict grievous bodily harm,110,142,121,105,135,109,170,105,114,97
Common assault,102,77,65,44,31,42,72,57,50,49
Common robbery,16,11,12,6,11,7,14,10,3,11
Robbery with aggravating circumstances,5,4,6,9,5,9,10,11,5,13
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,5,2,1,2,2,5,1,0,5
Malicious damage to property,28,27,26,23,32,26,34,33,24,26
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,39,52,40,41,44,35,23,38,46,33
Burglary at residential premises,82,103,79,60,45,57,90,94,69,52
Theft of motor vehicle and motorcycle,6,3,3,4,1,1,4,2,3,5
Theft out of or from motor vehicle,23,28,20,14,9,15,12,11,16,11
Stock-theft,17,12,7,6,6,19,7,13,11,12
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,1,2,1,2,2,0,2,0,0
Drug-related crime,23,16,20,30,18,23,20,18,39,51
Driving under the influence of alcohol or drugs,20,17,15,15,14,18,14,24,13,17
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,141,139,89,64,46,80,85,112,131,65
Commercial crime,19,15,7,12,8,8,11,18,4,5
Shoplifting,8,9,9,16,10,32,26,16,13,8
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,1,1,0
Robbery at non-residential premises,0,0,0,0,0,2,2,8,1,3
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,7,6,6,4,5,8,5,4,9,3
Public violence,0,0,1,1,1,1,8,0,1,4
Crimen injuria,14,8,4,7,0,4,4,2,6,5
Neglect and ill-treatment of children ,3,8,7,7,5,0,1,2,0,0
Kidnapping,0,0,0,1,0,0,0,0,0,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bathlaros (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,3,5,1,2,5,2,4,8,9
Total Sexual Crimes,32,56,34,44,35,41,22,24,36,38
Attempted murder,8,7,4,6,9,6,2,7,6,4
Assault with the intent to inflict grievous bodily harm,190,279,144,194,130,133,147,125,142,201
Common assault,30,35,17,34,39,50,29,21,16,28
Common robbery,22,20,8,20,20,31,18,14,12,24
Robbery with aggravating circumstances,9,6,9,21,19,15,12,12,24,32
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,3,3,9,7,5,0,6,4,3
Malicious damage to property,25,47,27,40,35,59,30,33,27,57
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,48,24,14,7,9,34,36,20,46,48
Burglary at residential premises,77,89,59,92,74,75,48,48,98,114
Theft of motor vehicle and motorcycle,3,3,3,3,2,2,2,1,3,7
Theft out of or from motor vehicle,10,12,8,6,6,7,4,4,4,6
Stock-theft,54,65,16,33,29,37,41,39,33,43
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,1,1,2,0,2,0,0,1,0
Drug-related crime,7,16,12,31,20,31,25,12,3,6
Driving under the influence of alcohol or drugs,6,4,3,6,4,12,7,3,0,4
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,46,36,39,59,36,51,47,21,51,99
Commercial crime,2,1,2,5,6,5,0,0,4,4
Shoplifting,5,3,2,3,6,2,6,0,5,3
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,1,0,2,0,0,1,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,0,0,0,0,2,0,2,7,4
Robbery at non-residential premises,2,2,0,3,13,6,2,4,13,14
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,2,6,5,5,2,7,1,1,7
Public violence,0,0,0,0,0,0,0,1,0,1
Crimen injuria,12,13,7,24,11,9,4,4,11,8
Neglect and ill-treatment of children ,3,1,1,4,2,6,4,3,0,2
Kidnapping,0,0,0,0,0,0,0,2,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Belmont (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,0,0,0,0,0,0,0,0
Total Sexual Crimes,1,2,2,0,0,3,0,0,2,0
Attempted murder,1,2,1,1,0,0,0,1,0,1
Assault with the intent to inflict grievous bodily harm,5,5,5,6,3,4,4,10,1,5
Common assault,6,7,6,1,1,2,6,5,1,1
Common robbery,0,0,0,0,0,0,0,0,0,0
Robbery with aggravating circumstances,0,0,1,0,0,0,0,0,0,0
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,0,2,0,0,0,0
Malicious damage to property,0,2,2,0,0,1,0,1,1,2
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,1,2,1,0,2,0,0,1,0,0
Burglary at residential premises,8,7,6,5,2,1,1,1,0,3
Theft of motor vehicle and motorcycle,0,0,0,2,0,1,0,0,0,0
Theft out of or from motor vehicle,0,0,0,1,1,2,0,0,0,0
Stock-theft,32,16,14,10,19,11,17,25,24,20
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,0,0,0,0,0,0,0
Drug-related crime,1,0,0,1,0,2,2,6,2,1
Driving under the influence of alcohol or drugs,0,1,0,0,0,1,5,4,4,3
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,18,7,13,6,6,6,4,3,8,3
Commercial crime,0,0,0,0,0,0,2,1,0,0
Shoplifting,1,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,3,3,4,5,1,6,1,0,3,2
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,1,0,0,0,0,0,1,2,3,0
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Boetsap (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,0,1,0,0,0,0,0,0
Total Sexual Crimes,1,1,1,0,0,0,1,4,0,0
Attempted murder,0,0,0,1,0,0,1,0,0,0
Assault with the intent to inflict grievous bodily harm,1,1,3,3,2,1,3,1,0,0
Common assault,0,3,1,1,1,0,0,1,0,0
Common robbery,0,0,0,0,0,0,0,0,0,0
Robbery with aggravating circumstances,0,1,0,0,0,0,2,0,0,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,0,0,0,0,0,0
Malicious damage to property,0,0,0,0,0,0,0,0,0,0
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,0,0,0,0,0,1,1,1,1
Burglary at residential premises,2,3,2,1,4,2,1,2,1,1
Theft of motor vehicle and motorcycle,0,0,0,0,0,0,0,0,0,0
Theft out of or from motor vehicle,0,0,0,0,0,0,0,0,0,0
Stock-theft,10,1,3,5,2,2,5,4,0,4
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,1,0,0,0,0,0,0,0,0
Drug-related crime,1,0,2,2,1,0,3,1,1,1
Driving under the influence of alcohol or drugs,0,0,0,0,0,0,0,0,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,3,2,3,2,5,6,4,5,3,0
Commercial crime,0,0,0,2,0,0,0,0,0,0
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,1,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,0,0
Robbery at non-residential premises,0,0,0,0,0,0,1,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,0,0,0,0,0,0,0,0,0
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,0,0,2,0,0,0,0,0,0,0
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bothithong (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,1,2,3,4,1,3,3,3,4
Total Sexual Crimes,18,34,28,40,29,24,28,33,29,17
Attempted murder,0,6,1,0,0,3,1,3,1,4
Assault with the intent to inflict grievous bodily harm,116,116,96,64,87,105,86,78,67,48
Common assault,14,43,33,15,9,7,10,9,6,8
Common robbery,13,24,11,11,8,11,7,11,0,7
Robbery with aggravating circumstances,3,1,9,7,7,5,15,3,11,17
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,5,2,5,4,4,4,5,0,9
Malicious damage to property,16,26,22,21,19,22,13,13,6,20
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,51,25,7,8,3,9,15,16,32,44
Burglary at residential premises,32,45,34,25,30,28,32,31,14,23
Theft of motor vehicle and motorcycle,3,0,2,1,0,0,1,2,1,1
Theft out of or from motor vehicle,1,2,2,4,3,3,1,3,4,1
Stock-theft,115,111,29,27,43,44,28,30,21,39
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,1,0,0,2,0,0,0,0,0
Drug-related crime,3,9,3,7,1,3,0,13,1,0
Driving under the influence of alcohol or drugs,0,0,0,0,0,0,0,0,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,41,27,26,22,24,33,37,9,18,21
Commercial crime,0,2,0,1,2,1,1,0,1,1
Shoplifting,0,0,0,0,0,0,0,1,0,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,1,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,0,3
Robbery at non-residential premises,1,1,0,0,0,3,12,2,10,11
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,2,4,4,4,3,1,2,3,6
Public violence,0,1,0,0,0,0,0,1,0,3
Crimen injuria,5,0,5,4,4,3,2,2,0,0
Neglect and ill-treatment of children ,0,2,1,1,1,0,0,0,0,0
Kidnapping,1,1,1,0,0,0,0,1,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Brandvlei (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,3,2,1,2,6,2,0,1,0
Total Sexual Crimes,5,6,9,4,3,7,3,4,3,5
Attempted murder,1,3,6,4,3,4,0,0,1,1
Assault with the intent to inflict grievous bodily harm,16,18,20,17,10,4,16,10,10,14
Common assault,21,16,16,17,23,14,19,15,20,10
Common robbery,2,0,2,0,1,0,0,0,0,0
Robbery with aggravating circumstances,1,2,1,0,1,0,0,0,0,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,1,0,1,0,0,0,0,0,0
Malicious damage to property,3,9,4,4,5,9,9,2,1,4
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,4,5,2,2,2,2,8,2,3,5
Burglary at residential premises,13,29,16,3,2,5,4,0,5,4
Theft of motor vehicle and motorcycle,1,1,0,1,3,0,0,0,0,1
Theft out of or from motor vehicle,0,8,2,3,0,0,0,0,0,1
Stock-theft,6,4,2,3,3,5,10,5,8,5
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,0,0,0,0,0,0,0
Drug-related crime,7,12,6,7,12,7,22,23,18,59
Driving under the influence of alcohol or drugs,0,3,4,6,2,0,2,0,3,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,7,16,6,4,6,10,12,5,6,8
Commercial crime,2,1,0,1,2,0,0,3,0,1
Shoplifting,3,3,1,1,2,1,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,0,0,0,0,0,0,0,0
