Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Western Cape  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,30,31,22,21,24,14,20,15,18,8
Total Sexual Crimes,93,82,45,37,34,43,93,113,86,68
Attempted murder,19,19,2,9,4,4,8,9,4,5
Assault with the intent to inflict grievous bodily harm,527,541,403,450,410,403,401,420,415,401
Common assault,460,670,582,597,569,545,555,624,597,568
Common robbery,111,113,54,72,96,71,99,92,111,153
Robbery with aggravating circumstances,95,57,38,54,83,73,109,88,98,108
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,7,5,5,3,2,2,3,8,6
Malicious damage to property,366,278,255,290,299,323,303,285,301,291
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,140,79,64,79,106,128,135,147,139,131
Burglary at residential premises,451,383,276,334,395,379,400,384,452,530
Theft of motor vehicle and motorcycle,5,5,7,7,4,6,6,4,7,5
Theft out of or from motor vehicle,206,142,112,160,175,155,157,269,379,538
Stock-theft,138,73,64,54,46,53,55,44,58,53
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,12,10,7,6,4,5,12,7,6,6
Drug-related crime,142,270,319,329,378,437,467,542,430,396
Driving under the influence of alcohol or drugs,33,64,112,112,117,123,120,123,97,84
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,979,879,629,683,692,789,717,702,869,713
Commercial crime,39,74,30,52,45,68,51,65,120,79
Shoplifting,208,178,157,159,160,176,166,196,157,128
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,1,0,0,0,1,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,1,4,3,8,6,10
Robbery at non-residential premises,1,1,0,0,0,2,1,3,11,9
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,25,18,27,15,26,21,21,22,11,11
Public violence,8,6,3,6,2,2,2,1,1,3
Crimen injuria,193,275,169,180,186,193,184,227,232,226
Neglect and ill-treatment of children ,4,10,15,1,5,5,15,5,5,4
Kidnapping,6,2,2,0,4,6,3,3,4,4
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Belhar (WC)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Belhar was established from Delft December 2007,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,0,0,1,5,8,11,14,26
Total Sexual Crimes,0,0,0,0,10,62,92,69,53,59
Attempted murder,0,0,0,0,8,19,30,18,19,60
Assault with the intent to inflict grievous bodily harm,0,0,0,0,56,165,176,198,160,159
Common assault,0,0,0,0,99,299,260,246,260,203
Common robbery,0,0,0,0,19,147,208,160,131,124
Robbery with aggravating circumstances,0,0,0,0,35,142,166,176,128,164
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,1,4,4,1,3,4
Malicious damage to property,0,0,0,0,72,212,183,229,209,223
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,0,0,0,6,12,28,62,34,29
Burglary at residential premises,0,0,0,0,97,332,359,356,301,310
Theft of motor vehicle and motorcycle,0,0,0,0,26,80,80,42,57,46
Theft out of or from motor vehicle,0,0,0,0,63,180,350,299,296,277
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,0,11,14,21,25,30,64
Drug-related crime,0,0,0,0,54,238,291,583,840,1117
Driving under the influence of alcohol or drugs,0,0,0,0,23,51,114,133,159,123
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,0,0,0,0,250,844,713,748,842,763
Commercial crime,0,0,0,0,3,21,28,11,23,14
Shoplifting,0,0,0,0,46,125,133,96,65,73
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,5,3,2,0,9
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,11,4,8,3,7
Robbery at non-residential premises,0,0,0,0,0,4,7,6,1,5
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,0,0,0,1,9,13,6,10,7
Public violence,0,0,0,0,0,0,2,0,4,4
Crimen injuria,0,0,0,0,16,31,48,47,49,54
Neglect and ill-treatment of children ,0,0,0,0,9,11,3,5,1,1
Kidnapping,0,0,0,0,0,2,2,1,5,11
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bellville (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,10,12,11,10,5,5,9,3,19,10
Total Sexual Crimes,77,75,89,80,148,280,123,80,160,65
Attempted murder,38,25,17,17,30,7,7,8,9,15
Assault with the intent to inflict grievous bodily harm,164,139,137,158,132,126,158,164,178,154
Common assault,492,512,483,433,486,466,467,434,410,397
Common robbery,92,110,79,65,89,82,172,583,472,491
Robbery with aggravating circumstances,247,222,237,317,330,304,284,264,344,356
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,7,3,6,7,7,3,2,5,9
Malicious damage to property,502,448,441,547,580,616,514,586,398,268
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,384,288,269,444,375,399,368,340,457,441
Burglary at residential premises,988,742,747,789,789,873,716,963,1047,1037
Theft of motor vehicle and motorcycle,786,647,629,670,601,592,543,550,519,583
Theft out of or from motor vehicle,1399,1007,1111,1089,905,864,955,1341,1587,1490
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,10,14,11,17,25,15,19,24,17,19
Drug-related crime,122,131,188,220,268,314,353,511,735,776
Driving under the influence of alcohol or drugs,134,116,183,115,158,175,212,231,332,359
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,3577,3365,3032,2845,2740,2916,2712,2189,2446,2243
Commercial crime,666,463,512,472,713,707,740,685,808,672
Shoplifting,460,451,466,678,662,775,842,682,672,587
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,12,8,7,11,17,15,9,3,7,9
Truck hijacking,0,0,0,0,0,2,2,0,0,1
Robbery at residential premises,11,7,14,14,16,15,24,22,29,24
Robbery at non-residential premises,4,2,2,24,36,24,24,15,16,28
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,21,22,21,20,18,23,16,19,20,17
Public violence,0,3,4,5,1,2,0,0,4,1
Crimen injuria,151,158,135,81,80,92,86,76,77,91
Neglect and ill-treatment of children ,4,1,6,5,3,5,4,3,3,2
Kidnapping,7,4,4,2,6,12,4,13,14,10
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bellville South (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,8,8,5,4,4,7,3,4,3,3
Total Sexual Crimes,57,32,47,45,37,34,56,46,31,32
Attempted murder,18,5,8,7,5,6,3,13,14,15
Assault with the intent to inflict grievous bodily harm,204,118,109,92,105,98,148,134,143,126
Common assault,293,230,167,134,129,171,175,180,139,185
Common robbery,106,66,36,39,54,54,62,51,60,82
Robbery with aggravating circumstances,43,16,27,52,43,58,65,56,61,80
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,3,2,1,0,2,2,3,1,3
Malicious damage to property,174,129,113,114,121,122,118,126,161,138
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,79,63,44,80,92,114,127,66,56,48
Burglary at residential premises,191,130,126,156,136,186,201,199,175,167
Theft of motor vehicle and motorcycle,24,25,40,36,45,42,36,21,24,21
Theft out of or from motor vehicle,171,170,133,189,163,147,174,167,171,176
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,12,9,8,7,7,3,12,9,15,16
Drug-related crime,154,280,258,350,336,332,433,525,716,725
Driving under the influence of alcohol or drugs,29,27,21,22,27,23,41,49,120,104
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,786,637,509,535,549,629,579,653,696,626
Commercial crime,27,17,10,5,16,24,27,34,31,42
Shoplifting,1,1,1,2,0,4,1,1,1,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
