Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  North West  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,77,51,39,36,64,46,55,49,43,40
Commercial crime,2,2,1,3,1,0,2,4,0,0
Shoplifting,0,0,0,1,1,2,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,0,0,0,1,2,1,1,0
Robbery at non-residential premises,0,2,0,0,0,0,6,4,5,1
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,1,5,5,5,5,3,1,2,6
Public violence,0,0,0,0,0,0,0,1,0,0
Crimen injuria,13,4,17,10,6,6,9,3,2,4
Neglect and ill-treatment of children ,1,0,0,1,1,1,2,1,1,2
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Assen (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,2,0,3,1,0,1,3,3,1
Total Sexual Crimes,15,2,8,8,7,5,7,1,7,9
Attempted murder,0,2,2,2,3,3,1,2,1,1
Assault with the intent to inflict grievous bodily harm,46,44,9,17,19,15,10,18,14,14
Common assault,24,15,14,9,9,3,6,9,4,7
Common robbery,2,4,2,4,2,6,5,3,0,3
Robbery with aggravating circumstances,6,3,3,12,12,5,18,6,8,27
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,2,3,0,0,2,0,0,1,1
Malicious damage to property,37,28,13,28,19,12,14,13,19,31
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,13,6,4,7,11,7,7,2,9,5
Burglary at residential premises,40,47,51,28,44,82,61,50,48,60
Theft of motor vehicle and motorcycle,7,10,4,8,9,7,12,3,6,8
Theft out of or from motor vehicle,9,4,3,1,4,4,4,9,8,11
Stock-theft,9,8,4,4,6,16,6,5,14,12
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,4,1,0,2,0,2,2,3,7
Drug-related crime,8,13,13,10,23,7,4,6,16,40
Driving under the influence of alcohol or drugs,3,2,3,2,1,1,2,0,2,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,110,127,105,106,118,99,110,141,111,129
Commercial crime,3,8,7,3,0,4,1,5,4,1
Shoplifting,1,2,0,0,1,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,1,2,2,1,1,0,0
Truck hijacking,0,0,0,4,5,1,2,1,0,0
Robbery at residential premises,0,0,0,1,0,1,5,0,3,12
Robbery at non-residential premises,0,0,0,0,0,1,5,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,7,7,6,0,6,8,4,2,3,7
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,6,5,2,3,3,3,4,1,4,1
Neglect and ill-treatment of children ,1,1,0,0,0,0,0,1,0,0
Kidnapping,0,0,0,0,1,0,1,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Atamelang (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,8,7,8,8,5,6,6,10,12,3
Total Sexual Crimes,56,51,52,42,45,56,69,48,49,51
Attempted murder,4,5,4,4,0,1,5,4,3,2
Assault with the intent to inflict grievous bodily harm,294,192,149,125,137,141,133,118,98,102
Common assault,113,57,60,71,32,31,48,31,18,29
Common robbery,29,27,12,13,7,9,10,8,10,8
Robbery with aggravating circumstances,20,24,31,27,21,19,16,24,35,22
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,7,8,4,9,4,3,1,5,3,3
Malicious damage to property,44,32,36,41,20,40,25,20,17,25
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,48,46,67,31,35,41,30,29,52,39
Burglary at residential premises,94,75,98,63,50,67,61,41,51,44
Theft of motor vehicle and motorcycle,4,4,2,4,5,3,2,2,2,1
Theft out of or from motor vehicle,9,4,7,10,1,3,7,4,5,3
Stock-theft,53,73,51,47,45,67,69,47,39,28
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,8,5,4,3,5,2,1,2,3,8
Drug-related crime,19,40,33,62,37,31,34,27,49,69
Driving under the influence of alcohol or drugs,4,1,2,1,1,2,8,4,2,5
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,120,99,38,34,31,37,39,40,44,36
Commercial crime,4,2,3,15,10,5,13,2,5,3
Shoplifting,2,1,0,2,0,2,0,1,1,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,1,0,0,0,0,2,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,0,3,1,2,2,2,4,2,5
Robbery at non-residential premises,1,0,0,4,1,5,7,19,29,13
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2,4,2,4,4,4,6,0,3,9
Public violence,1,0,2,0,5,1,1,1,1,1
Crimen injuria,28,21,5,5,1,2,6,3,2,4
Neglect and ill-treatment of children ,1,0,2,0,2,1,2,2,2,1
Kidnapping,0,0,0,0,0,0,1,1,0,4
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bedwang (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,2,3,1,3,0,2,5,6,0
Total Sexual Crimes,16,23,18,24,25,14,16,19,16,13
Attempted murder,7,6,3,7,1,1,6,3,2,2
Assault with the intent to inflict grievous bodily harm,44,44,45,49,31,33,38,40,39,36
Common assault,29,31,23,27,19,17,20,15,18,16
Common robbery,12,18,10,9,3,8,4,7,4,3
Robbery with aggravating circumstances,16,18,27,22,17,16,15,11,19,7
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,0,2,1,3,1,2,0,1,1
Malicious damage to property,16,17,13,18,16,18,14,14,20,15
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,21,15,15,12,9,7,9,9,10,17
Burglary at residential premises,33,36,46,29,44,32,22,24,21,22
Theft of motor vehicle and motorcycle,3,5,3,0,8,4,7,1,1,2
Theft out of or from motor vehicle,10,2,5,4,1,2,3,4,6,3
Stock-theft,18,16,3,23,15,29,31,33,38,22
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,4,3,5,2,4,2,1,5,1
Drug-related crime,0,27,52,47,93,84,80,92,97,136
Driving under the influence of alcohol or drugs,0,0,0,6,1,0,2,4,1,2
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,33,32,22,22,37,34,24,48,200,96
Commercial crime,0,0,0,1,0,1,2,2,0,1
Shoplifting,0,0,0,1,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,0,0,3,1,1,0,0,1,0
Truck hijacking,2,1,0,0,0,0,0,0,0,0
Robbery at residential premises,6,9,1,4,4,3,3,1,3,3
Robbery at non-residential premises,1,2,0,0,6,4,6,6,5,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,4,2,7,2,3,7,1,3,1
Public violence,0,0,0,1,0,0,0,0,0,0
Crimen injuria,14,8,1,8,8,4,5,4,5,4
Neglect and ill-treatment of children ,0,1,1,0,0,0,0,1,0,0
Kidnapping,0,0,1,1,0,0,0,1,3,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bethanie (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,27,40,27,16,8,17,17,13,19,16
Total Sexual Crimes,92,93,80,83,54,87,58,81,59,71
Attempted murder,31,51,23,13,14,10,15,17,11,9
Assault with the intent to inflict grievous bodily harm,308,325,281,217,177,170,190,204,176,178
Common assault,182,179,148,86,76,97,115,112,102,51
Common robbery,61,82,72,56,37,30,40,27,31,21
Robbery with aggravating circumstances,77,140,102,97,100,140,136,110,116,136
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,15,4,14,17,9,10,8,13,20,11
Malicious damage to property,89,100,91,74,80,72,79,69,140,94
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,72,55,32,38,34,69,57,65,42,81
Burglary at residential premises,231,225,211,158,189,140,200,231,209,193
Theft of motor vehicle and motorcycle,29,30,29,36,31,24,28,35,38,41
Theft out of or from motor vehicle,26,19,16,16,9,4,13,25,24,22
Stock-theft,31,21,5,17,13,14,25,6,14,13
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,21,14,5,6,9,8,5,13,12,10
Drug-related crime,22,42,35,21,45,36,42,68,99,138
Driving under the influence of alcohol or drugs,9,22,13,5,18,21,8,24,20,19
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,272,219,173,155,170,257,219,191,232,189
Commercial crime,4,15,3,10,4,7,8,8,17,18
Shoplifting,11,1,0,0,1,2,0,0,0,20
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,9,4,7,3,14,11,16,7,8,14
Truck hijacking,0,1,0,0,1,0,3,0,1,0
Robbery at residential premises,11,24,13,23,29,50,43,34,17,30
Robbery at non-residential premises,1,2,1,2,19,26,35,33,45,33
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,24,13,6,13,14,11,11,13,9
Public violence,3,0,2,0,1,1,0,3,8,1
Crimen injuria,64,67,22,10,9,5,18,8,14,13
Neglect and ill-treatment of children ,11,3,1,4,7,1,5,8,5,5
Kidnapping,1,1,4,4,0,1,2,4,1,8
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Biesiesvlei (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,3,1,3,5,2,0,2,1,3
Total Sexual Crimes,19,15,5,8,12,13,9,22,19,18
Attempted murder,0,2,2,2,1,0,2,1,0,0
Assault with the intent to inflict grievous bodily harm,44,43,30,35,42,33,28,34,25,35
Common assault,32,29,22,23,21,26,17,19,11,18
Common robbery,1,2,2,1,2,0,1,0,1,1
Robbery with aggravating circumstances,1,2,3,5,3,1,5,4,4,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,1,3,4,5,3,0,1,1,3
Malicious damage to property,17,10,11,16,16,8,13,13,11,8
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,3,2,5,6,2,9,12,26,21,17
Burglary at residential premises,26,28,21,36,16,24,24,23,19,28
Theft of motor vehicle and motorcycle,0,3,2,4,0,0,4,1,4,6
Theft out of or from motor vehicle,2,4,3,5,4,4,2,1,2,4
Stock-theft,43,27,28,14,28,13,31,23,27,18
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,1,0,0,3,0,0,0,2,2
Drug-related crime,5,11,18,12,12,26,15,15,12,28
Driving under the influence of alcohol or drugs,2,4,6,3,8,2,3,0,3,5
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,57,44,37,49,57,41,35,40,32,53
Commercial crime,5,2,0,1,2,4,2,0,1,2
Shoplifting,1,0,0,0,0,0,1,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,1,1,2,1
Robbery at non-residential premises,0,0,0,0,0,0,2,1,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,5,2,3,4,2,3,4,4,5,3
Public violence,0,1,0,0,0,0,0,0,0,0
Crimen injuria,13,6,6,6,10,4,2,2,2,1
Neglect and ill-treatment of children ,0,0,1,0,0,0,0,0,0,2
Kidnapping,0,0,0,0,1,0,0,0,1,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bloemhof (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,4,4,10,6,6,7,5,3,10
Total Sexual Crimes,61,55,58,39,66,62,36,60,59,54
Attempted murder,4,3,1,3,6,3,6,5,4,3
Assault with the intent to inflict grievous bodily harm,205,194,157,174,108,149,156,184,188,182
Common assault,192,176,112,70,85,85,121,89,103,108
Common robbery,34,39,27,32,24,23,26,27,24,40
Robbery with aggravating circumstances,9,19,18,20,6,11,19,27,32,33
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,9,4,5,11,9,7,7,4,5
Malicious damage to property,82,81,60,57,46,60,67,61,66,87
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,56,81,66,50,71,40,33,41,34,29
Burglary at residential premises,144,149,148,123,108,108,96,136,140,170
Theft of motor vehicle and motorcycle,7,20,11,4,6,9,8,9,8,6
Theft out of or from motor vehicle,40,75,50,44,11,23,27,18,29,39
Stock-theft,58,48,55,41,49,45,53,50,35,45
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,4,2,1,1,2,4,1,3
Drug-related crime,24,45,72,99,79,73,26,28,77,59
Driving under the influence of alcohol or drugs,23,16,38,64,48,48,34,21,14,14
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,331,241,203,155,165,196,180,219,196,176
Commercial crime,15,12,10,12,12,16,22,27,24,25
Shoplifting,26,24,29,31,23,18,18,10,7,14
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,0,1,0,0,1,2,0
Truck hijacking,0,2,0,0,0,0,4,11,0,0
Robbery at residential premises,1,0,1,0,0,0,9,3,2,7
Robbery at non-residential premises,0,1,0,0,3,8,5,7,17,15
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,14,6,7,12,9,6,8,8,13
Public violence,0,4,0,2,1,1,1,4,0,2
Crimen injuria,43,30,17,15,18,22,42,32,39,39
Neglect and ill-treatment of children ,2,0,3,3,6,7,7,5,9,7
Kidnapping,0,1,0,0,0,0,0,1,3,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Boitekong (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,24,28,24,21,25,17,19,48,60,53
Total Sexual Crimes,67,89,108,92,83,76,96,152,150,193
Attempted murder,34,40,18,19,6,14,16,35,36,44
Assault with the intent to inflict grievous bodily harm,445,383,372,409,386,381,276,567,577,541
Common assault,284,233,175,70,76,84,72,140,249,215
Common robbery,100,114,97,76,56,61,50,57,64,51
Robbery with aggravating circumstances,84,101,169,110,110,120,100,179,192,219
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,14,19,20,15,15,13,4,13,9,14
Malicious damage to property,146,132,149,120,104,92,78,139,172,169
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,24,15,23,32,24,36,46,73,78,76
Burglary at residential premises,313,425,383,314,334,311,288,506,515,507
Theft of motor vehicle and motorcycle,55,39,68,53,33,35,52,89,94,91
Theft out of or from motor vehicle,78,53,59,43,40,31,52,80,65,81
Stock-theft,1,3,0,1,4,0,3,11,10,9
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,17,13,16,5,9,17,8,9,45,23
Drug-related crime,44,66,126,196,257,328,368,308,398,404
Driving under the influence of alcohol or drugs,22,30,21,13,31,21,26,29,43,42
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,366,287,248,177,170,148,118,378,448,362
Commercial crime,10,7,6,6,6,5,12,13,16,71
Shoplifting,9,7,6,8,2,3,3,2,3,31
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,3,12,9,5,8,6,13,6,13
Truck hijacking,0,1,0,0,0,0,0,1,0,1
Robbery at residential premises,36,5,30,13,20,16,25,31,48,58
Robbery at non-residential premises,10,5,13,14,9,19,19,47,37,41
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,7,12,6,13,11,12,34,32,38
Public violence,0,1,0,1,0,0,1,0,7,17
Crimen injuria,59,79,36,28,27,20,28,23,49,28
Neglect and ill-treatment of children ,3,3,8,12,11,9,9,8,11,3
Kidnapping,15,3,2,1,2,2,1,5,13,12
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Boons (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,4,4,3,3,2,1,2,0,1
Total Sexual Crimes,9,12,9,8,8,8,10,8,3,2
Attempted murder,3,0,0,0,2,2,4,0,0,1
Assault with the intent to inflict grievous bodily harm,48,55,31,34,37,24,41,23,28,27
Common assault,26,22,14,10,9,6,7,11,7,11
Common robbery,2,5,5,3,4,3,2,2,0,3
Robbery with aggravating circumstances,8,9,15,11,12,15,19,3,4,3
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,2,0,0,0,0,1,1,1
Malicious damage to property,14,11,13,19,16,15,14,15,9,9
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,11,13,14,8,4,20,10,7,3,6
Burglary at residential premises,46,23,24,32,28,31,38,34,16,7
Theft of motor vehicle and motorcycle,7,3,6,14,3,7,9,15,4,3
Theft out of or from motor vehicle,9,2,6,4,3,7,5,1,6,1
Stock-theft,29,20,9,13,11,27,46,23,17,12
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,2,6,1,0,1,1,0,0,0
Drug-related crime,54,39,45,74,32,14,8,14,22,19
Driving under the influence of alcohol or drugs,1,3,1,0,0,0,0,3,1,2
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,65,64,38,99,62,78,77,69,39,26
Commercial crime,1,1,1,1,1,4,3,2,1,3
Shoplifting,0,0,0,0,1,0,0,0,1,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,3,1,1,0,4,7,5,0,0,2
Truck hijacking,2,4,8,7,4,4,8,2,2,1
Robbery at residential premises,0,0,0,0,0,1,2,1,1,0
