Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Gauteng for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Culpable homicide,9,5,19,13,19,18,14,9,14,10
Public violence,0,0,1,2,1,9,1,3,0,0
Crimen injuria,79,102,81,47,35,35,43,49,44,37
Neglect and ill-treatment of children ,22,17,19,11,23,22,16,23,24,14
Kidnapping,29,23,27,15,13,20,18,16,16,26
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Atteridgeville (GP)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,45,44,54,28,51,41,41,45,52,38
Total Sexual Crimes,311,260,266,241,172,183,155,143,139,151
Attempted murder,149,126,103,121,71,95,87,77,50,56
Assault with the intent to inflict grievous bodily harm,1074,1003,1079,1156,1080,943,733,731,804,765
Common assault,1225,1018,889,928,712,280,257,304,400,435
Common robbery,604,620,554,604,450,287,164,118,166,174
Robbery with aggravating circumstances,611,700,597,653,525,454,339,371,304,322
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,37,48,28,52,78,47,28,19,34,28
Malicious damage to property,570,442,479,578,490,367,329,344,421,454
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,15,7,4,22,64,54,36,60,82,79
Burglary at residential premises,803,643,1001,962,965,953,763,718,785,729
Theft of motor vehicle and motorcycle,142,132,125,107,99,94,85,108,75,90
Theft out of or from motor vehicle,256,297,311,297,260,299,224,232,292,295
Stock-theft,2,0,0,0,1,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,69,55,35,33,16,37,52,51,45,35
Drug-related crime,65,54,139,129,204,310,234,264,333,560
Driving under the influence of alcohol or drugs,16,21,17,31,34,36,50,29,34,83
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1405,1273,1056,1356,1374,1031,626,650,1069,1132
Commercial crime,55,54,47,70,93,81,108,125,105,105
Shoplifting,5,8,6,37,78,147,188,158,186,283
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,36,40,71,64,48,56,40,63,44,41
Truck hijacking,4,0,1,3,5,2,0,0,1,1
Robbery at residential premises,57,54,71,47,38,23,27,39,23,33
Robbery at non-residential premises,0,1,1,9,18,24,32,56,45,37
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,11,6,7,12,5,10,14,9,11
Public violence,2,1,2,0,4,0,10,2,1,4
Crimen injuria,289,219,160,174,158,45,23,32,45,24
Neglect and ill-treatment of children ,9,12,8,13,9,9,6,11,6,6
Kidnapping,10,11,11,12,10,5,9,14,16,10
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bedfordview (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,11,6,6,6,6,8,7,6,3,3
Total Sexual Crimes,26,22,25,22,22,23,18,31,23,23
Attempted murder,33,28,30,22,27,22,23,13,13,9
Assault with the intent to inflict grievous bodily harm,85,71,83,61,78,73,62,95,70,64
Common assault,201,218,252,222,221,234,210,191,194,160
Common robbery,181,268,156,86,57,66,68,52,54,63
Robbery with aggravating circumstances,380,357,450,461,477,362,367,281,227,247
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,3,6,8,2,2,4,3,1,4
Malicious damage to property,216,211,266,231,202,184,196,248,189,167
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,274,178,207,197,224,205,262,153,156,144
Burglary at residential premises,346,314,265,245,213,220,249,212,136,193
Theft of motor vehicle and motorcycle,319,318,434,493,513,467,350,269,233,217
Theft out of or from motor vehicle,383,312,323,260,181,163,163,191,181,244
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,12,9,14,19,21,13,14,18,20,6
Drug-related crime,19,15,31,33,20,22,10,10,17,22
Driving under the influence of alcohol or drugs,45,36,58,54,63,55,70,36,57,56
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1258,1119,1198,1147,1042,962,803,868,852,836
Commercial crime,492,579,585,686,573,527,515,487,435,369
Shoplifting,565,549,501,564,671,634,635,561,457,403
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,59,66,73,38,57,50,45,41,23,26
Truck hijacking,10,6,10,4,12,10,10,9,3,11
Robbery at residential premises,37,34,65,121,107,88,89,66,60,69
Robbery at non-residential premises,89,51,72,67,75,72,67,55,35,25
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,29,28,27,25,24,22,18,23,18,13
Public violence,0,3,1,0,1,1,0,2,14,4
Crimen injuria,37,36,54,30,35,34,44,47,42,36
Neglect and ill-treatment of children ,5,1,2,1,0,2,2,0,3,0
Kidnapping,2,2,2,2,8,6,6,1,7,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bekkersdal (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,0,0,0,0,0,0,0,60
Total Sexual Crimes,0,0,0,0,0,0,0,0,0,99
Attempted murder,0,0,0,0,0,0,0,0,0,31
Assault with the intent to inflict grievous bodily harm,0,0,0,0,0,0,0,0,0,182
Common assault,0,0,0,0,0,0,0,0,0,299
Common robbery,0,0,0,0,0,0,0,0,0,68
Robbery with aggravating circumstances,0,0,0,0,0,0,0,0,0,218
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,0,0,0,0,0,7
Malicious damage to property,0,0,0,0,0,0,0,0,0,129
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,0,0,0,0,0,0,0,0,58
Burglary at residential premises,0,0,0,0,0,0,0,0,0,293
Theft of motor vehicle and motorcycle,0,0,0,0,0,0,0,0,0,39
Theft out of or from motor vehicle,0,0,0,0,0,0,0,0,0,74
Stock-theft,0,0,0,0,0,0,0,0,0,10
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,0,0,0,0,0,0,26
Drug-related crime,0,0,0,0,0,0,0,0,0,65
Driving under the influence of alcohol or drugs,0,0,0,0,0,0,0,0,0,63
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,0,0,0,0,0,0,0,0,0,211
Commercial crime,0,0,0,0,0,0,0,0,0,23
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,30
Truck hijacking,0,0,0,0,0,0,0,0,0,10
Robbery at residential premises,0,0,0,0,0,0,0,0,0,45
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,28
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,0,0,0,0,0,0,0,0,13
Public violence,0,0,0,0,0,0,0,0,0,3
Crimen injuria,0,0,0,0,0,0,0,0,0,4
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,5
Kidnapping,0,0,0,0,0,0,0,0,0,10
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Benoni (GP)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,46,45,39,37,37,24,39,29,37,30
Total Sexual Crimes,159,140,123,115,110,150,126,133,127,110
Attempted murder,68,63,37,56,49,43,50,40,39,60
Assault with the intent to inflict grievous bodily harm,527,619,490,348,344,274,299,351,390,275
Common assault,728,628,648,648,672,561,535,514,522,535
Common robbery,387,352,256,198,207,153,197,204,199,168
Robbery with aggravating circumstances,772,619,531,585,600,711,687,628,610,484
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,21,18,30,20,14,19,18,14,17,9
Malicious damage to property,744,660,534,566,518,581,600,630,447,512
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,499,421,379,599,392,527,518,514,441,354
Burglary at residential premises,1038,908,710,637,588,735,966,975,1214,979
Theft of motor vehicle and motorcycle,1155,683,666,676,700,766,810,698,612,635
Theft out of or from motor vehicle,1042,1029,962,786,720,821,951,944,1043,952
Stock-theft,0,0,1,0,0,0,0,0,1,1
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,44,30,17,28,33,32,31,56,49,58
Drug-related crime,78,140,168,139,103,87,77,171,267,593
Driving under the influence of alcohol or drugs,357,190,315,208,143,120,133,88,151,153
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,2606,2261,1797,1662,1681,1751,1669,1556,1509,1487
Commercial crime,528,550,491,531,536,721,801,1008,755,801
Shoplifting,469,433,477,465,495,538,641,516,475,545
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,182,115,109,101,108,163,198,177,115,76
Truck hijacking,5,3,4,10,14,22,17,16,14,18
Robbery at residential premises,47,41,63,66,80,111,127,104,158,95
Robbery at non-residential premises,46,58,61,111,108,135,108,93,67,87
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,47,49,59,69,77,61,40,50,48,43
Public violence,3,0,5,0,1,2,5,4,7,1
Crimen injuria,106,90,121,122,95,51,57,54,54,54
Neglect and ill-treatment of children ,8,11,5,8,10,4,6,9,6,3
Kidnapping,0,2,5,13,10,6,18,16,23,16
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Boipatong (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Boipatong was established from Vanderbijlpark April 2003,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,7,4,8,3,4,2,6,5,3,2
Total Sexual Crimes,68,63,56,38,30,40,48,36,27,18
Attempted murder,16,16,9,11,8,13,10,11,5,5
Assault with the intent to inflict grievous bodily harm,237,207,174,157,150,200,191,182,178,182
Common assault,221,185,146,124,95,113,114,87,64,66
Common robbery,40,45,43,41,27,29,23,22,15,19
Robbery with aggravating circumstances,52,45,25,26,29,34,44,28,23,21
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,6,1,7,11,2,10,7,6,6
Malicious damage to property,101,89,75,65,80,97,99,73,58,42
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,17,21,9,1,7,12,12,13,7,14
Burglary at residential premises,114,127,133,140,70,69,112,81,78,113
Theft of motor vehicle and motorcycle,17,8,3,2,5,9,15,11,5,7
Theft out of or from motor vehicle,26,12,8,9,7,17,40,37,16,16
Stock-theft,0,0,0,3,2,2,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,6,5,4,7,4,2,3,3,6,2
Drug-related crime,27,38,29,22,9,8,27,16,30,42
Driving under the influence of alcohol or drugs,4,12,13,5,6,17,19,33,50,40
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,259,198,145,140,170,215,172,130,125,109
